time,open,high,low,close,volume
2000-06-01 05:00:00+07:00,0.4697,0.4697,0.4697,0.4697,7.0
2001-01-01 06:00:00+07:00,0.445,0.4535,0.436,0.4365,2.0
2001-02-01 06:00:00+07:00,0.4365,0.4475,0.4257,0.4305,1.0
2001-03-01 06:00:00+07:00,0.4275,0.4347,0.404,0.4075,1007.0
2001-04-02 05:00:00+07:00,0.397,0.413,0.397,0.412,0.0
2001-05-01 05:00:00+07:00,0.397,0.426,0.397,0.408,0.0
2001-06-01 05:00:00+07:00,0.4105,0.4228,0.403,0.403,0.0
2001-07-02 05:00:00+07:00,0.403,0.4135,0.403,0.41,0.0
2001-08-01 05:00:00+07:00,0.41,0.441,0.41,0.437,0.0
2001-09-03 05:00:00+07:00,0.4315,0.436,0.3965,0.405,0.0
2001-10-01 05:00:00+07:00,0.405,0.4198,0.403,0.41,0.0
2001-11-01 06:00:00+07:00,0.416,0.4229,0.409,0.415,0.0
2001-12-03 06:00:00+07:00,0.415,0.4209,0.4077,0.4137,0.0
2002-01-01 06:00:00+07:00,0.4205,0.4298,0.4125,0.4147,0.0
2002-02-01 06:00:00+07:00,0.4158,0.422,0.4132,0.42,0.0
2002-03-01 06:00:00+07:00,0.4212,0.4375,0.4208,0.4375,0.0
2002-04-01 06:00:00+07:00,0.439,0.4494,0.4295,0.4454,0.0
2002-05-01 05:00:00+07:00,0.4455,0.4835,0.443,0.479,0.0
2002-06-03 05:00:00+07:00,0.4825,0.4964,0.4768,0.4815,0.0
2002-07-01 05:00:00+07:00,0.4818,0.4915,0.46,0.464,0.0
2002-08-01 05:00:00+07:00,0.4612,0.4715,0.4498,0.4674,0.0
2002-09-02 05:00:00+07:00,0.4664,0.4751,0.465,0.466,0.0
2002-10-01 05:00:00+07:00,0.4675,0.4876,0.4675,0.4832,0.0
2002-11-01 06:00:00+07:00,0.4855,0.5032,0.4839,0.496,0.0
2002-12-02 06:00:00+07:00,0.4981,0.522,0.4957,0.5205,0.0
2003-01-01 06:00:00+07:00,0.5186,0.5492,0.5173,0.5423,0.0
2003-02-03 06:00:00+07:00,0.5379,0.5665,0.5379,0.5585,0.0
2003-03-03 06:00:00+07:00,0.5566,0.567,0.5377,0.5495,0.0
2003-04-01 06:00:00+07:00,0.5481,0.5581,0.5289,0.5575,0.0
2003-05-01 05:00:00+07:00,0.5594,0.5866,0.5571,0.5765,0.0
2003-06-02 05:00:00+07:00,0.5742,0.5833,0.5722,0.5815,0.0
2003-07-01 05:00:00+07:00,0.5877,0.5973,0.565,0.5767,0.0
2003-08-01 05:00:00+07:00,0.5781,0.5894,0.5638,0.578,0.0
2003-09-01 05:00:00+07:00,0.5761,0.5939,0.563,0.5897,0.0
2003-10-01 05:00:00+07:00,0.5912,0.6127,0.586,0.611,0.0
2003-11-03 06:00:00+07:00,0.6114,0.6437,0.6042,0.639,0.0
2003-12-01 06:00:00+07:00,0.6417,0.6517,0.6341,0.65,0.0
2004-01-01 06:00:00+07:00,0.6518,0.68,0.6484,0.6718,0.0
2004-02-02 06:00:00+07:00,0.6689,0.7067,0.6647,0.6865,0.0
2004-03-01 06:00:00+07:00,0.691,0.691,0.6315,0.6625,0.0
2004-04-01 06:00:00+07:00,0.659,0.664,0.612,0.624,0.0
2004-05-03 05:00:00+07:00,0.6228,0.6359,0.5928,0.6325,0.0
2004-06-01 05:00:00+07:00,0.6304,0.6374,0.6132,0.6285,0.0
2004-07-01 05:00:00+07:00,0.63,0.6566,0.6211,0.631,2028.0
2004-08-02 05:00:00+07:00,0.6351,0.6725,0.634,0.6538,10916.0
2004-09-01 05:00:00+07:00,0.6551,0.6715,0.641,0.6715,18563.0
2004-10-01 05:00:00+07:00,0.6702,0.7001,0.6614,0.6815,10269.0
2004-11-01 06:00:00+07:00,0.6835,0.7179,0.679,0.7148,9374.0
2004-12-01 06:00:00+07:00,0.7172,0.7253,0.6905,0.7125,21898.0
2005-01-03 06:00:00+07:00,0.7093,0.7156,0.687,0.7065,7293.0
2005-02-01 06:00:00+07:00,0.7068,0.729,0.6936,0.726,6034.0
2005-03-01 06:00:00+07:00,0.725,0.7432,0.7007,0.707,21017.0
2005-04-01 06:00:00+07:00,0.7054,0.7312,0.698,0.728,7550.0
2005-05-02 05:00:00+07:00,0.7269,0.7345,0.7017,0.704,6038.0
2005-06-01 05:00:00+07:00,0.7038,0.716,0.688,0.6895,13575.0
2005-07-01 05:00:00+07:00,0.6896,0.6896,0.6652,0.6775,6972.0
2005-08-01 05:00:00+07:00,0.678,0.7075,0.678,0.694,8846.0
2005-09-01 05:00:00+07:00,0.6944,0.7115,0.6736,0.6855,16811.0
2005-10-03 05:00:00+07:00,0.6877,0.7068,0.6844,0.6975,9278.0
2005-11-01 06:00:00+07:00,0.6971,0.705,0.67,0.7018,11619.0
2005-12-01 06:00:00+07:00,0.7033,0.719,0.6664,0.6775,28444.0
2006-01-02 06:00:00+07:00,0.6775,0.697,0.6736,0.6827,23292.0
2006-02-01 06:00:00+07:00,0.6859,0.6895,0.6558,0.661,26693.0
2006-03-01 06:00:00+07:00,0.6624,0.6682,0.5961,0.6123,52733.0
2006-04-03 05:00:00+07:00,0.6118,0.6368,0.5983,0.6354,39935.0
2006-05-01 05:00:00+07:00,0.6354,0.643,0.6135,0.6342,26858.0
2006-06-01 05:00:00+07:00,0.6345,0.6345,0.5902,0.606,35943.0
2006-07-03 05:00:00+07:00,0.6056,0.6261,0.6005,0.6156,27294.0
2006-08-01 05:00:00+07:00,0.6168,0.6561,0.6142,0.6547,37657.0
2006-09-01 05:00:00+07:00,0.6552,0.669,0.6348,0.6499,54357.0
2006-10-02 05:00:00+07:00,0.6485,0.6697,0.6461,0.6687,38560.0
2006-11-01 06:00:00+07:00,0.6698,0.6854,0.6563,0.684,40868.0
2006-12-01 06:00:00+07:00,0.6831,0.7034,0.6815,0.7006,53356.0
2007-01-01 06:00:00+07:00,0.7038,0.7059,0.6794,0.6868,49855.0
2007-02-01 06:00:00+07:00,0.6886,0.7111,0.6754,0.7004,43093.0
2007-03-01 06:00:00+07:00,0.7001,0.7164,0.6722,0.7109,70584.0
2007-04-02 05:00:00+07:00,0.7194,0.7461,0.711,0.7397,45581.0
2007-05-01 05:00:00+07:00,0.738,0.7419,0.723,0.7365,52118.0
2007-06-01 05:00:00+07:00,0.7365,0.7693,0.7365,0.7649,109936.0
2007-07-02 05:00:00+07:00,0.7681,0.8073,0.7501,0.7631,88699.0
2007-08-01 05:00:00+07:00,0.7574,0.7683,0.6628,0.6985,91612.0
2007-09-03 05:00:00+07:00,0.6995,0.7534,0.6825,0.752,74355.0
2007-10-01 05:00:00+07:00,0.7547,0.7742,0.7331,0.77,64549.0
2007-11-01 05:00:00+07:00,0.769,0.7855,0.7347,0.7601,54325.0
2007-12-03 06:00:00+07:00,0.7633,0.7932,0.7434,0.7594,55260.0
2008-01-01 06:00:00+07:00,0.7692,0.787,0.7328,0.7834,47589.0
2008-02-01 06:00:00+07:00,0.782,0.8189,0.7737,0.7966,40420.0
2008-03-03 06:00:00+07:00,0.7918,0.8182,0.7703,0.7759,77000.0
2008-04-01 05:00:00+07:00,0.7747,0.7968,0.7665,0.7786,76435.0
2008-05-01 05:00:00+07:00,0.7763,0.7896,0.75,0.7824,79148.0
2008-06-02 05:00:00+07:00,0.7812,0.7876,0.7336,0.7511,83911.0
2008-07-01 05:00:00+07:00,0.7523,0.7686,0.726,0.729,60131.0
