time,open,high,low,close
2005-05-01 07:00:00+07:00,114.4,114.4,114.4,114.4
2005-06-01 07:00:00+07:00,111.9,111.9,111.9,111.9
2005-07-01 07:00:00+07:00,107.5,107.5,107.5,107.5
2005-08-01 07:00:00+07:00,115.8,115.8,115.8,115.8
2005-09-01 07:00:00+07:00,98.9,98.9,98.9,98.9
2005-10-01 07:00:00+07:00,98.2,98.2,98.2,98.2
2005-11-01 07:00:00+07:00,105.8,105.8,105.8,105.8
2005-12-01 07:00:00+07:00,102.5,102.5,102.5,102.5
2006-01-01 07:00:00+07:00,106.2,106.2,106.2,106.2
2006-02-01 07:00:00+07:00,107.9,107.9,107.9,107.9
2006-03-01 07:00:00+07:00,111.5,111.5,111.5,111.5
2006-04-01 07:00:00+07:00,111.4,111.4,111.4,111.4
2006-05-01 07:00:00+07:00,104.3,104.3,104.3,104.3
2006-06-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2006-07-01 07:00:00+07:00,107.4,107.4,107.4,107.4
2006-08-01 07:00:00+07:00,90.0,90.0,90.0,90.0
2006-09-01 07:00:00+07:00,101.2,101.2,101.2,101.2
2006-10-01 07:00:00+07:00,105.2,105.2,105.2,105.2
2006-11-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2006-12-01 07:00:00+07:00,106.2,106.2,106.2,106.2
2007-01-01 07:00:00+07:00,109.6,109.6,109.6,109.6
2007-02-01 07:00:00+07:00,111.4,111.4,111.4,111.4
2007-03-01 07:00:00+07:00,115.5,115.5,115.5,115.5
2007-04-01 07:00:00+07:00,115.3,115.3,115.3,115.3
2007-05-01 07:00:00+07:00,123.9,123.9,123.9,123.9
2007-06-01 07:00:00+07:00,121.5,121.5,121.5,121.5
2007-07-01 07:00:00+07:00,120.8,120.8,120.8,120.8
2007-08-01 07:00:00+07:00,111.1,111.1,111.1,111.1
2007-09-01 07:00:00+07:00,115.7,115.7,115.7,115.7
2007-10-01 07:00:00+07:00,115.3,115.3,115.3,115.3
2007-11-01 07:00:00+07:00,110.5,110.5,110.5,110.5
2007-12-01 07:00:00+07:00,112.5,112.5,112.5,112.5
2008-01-01 07:00:00+07:00,103.1,103.1,103.1,103.1
2008-02-01 07:00:00+07:00,97.4,97.4,97.4,97.4
2008-03-01 07:00:00+07:00,88.6,88.6,88.6,88.6
2008-04-01 07:00:00+07:00,87.4,87.4,87.4,87.4
2008-05-01 07:00:00+07:00,89.8,89.8,89.8,89.8
2008-06-01 07:00:00+07:00,84.7,84.7,84.7,84.7
2008-07-01 07:00:00+07:00,79.0,79.0,79.0,79.0
2008-08-01 07:00:00+07:00,86.2,86.2,86.2,86.2
2008-09-01 07:00:00+07:00,92.2,92.2,92.2,92.2
2008-10-01 07:00:00+07:00,82.0,82.0,82.0,82.0
2008-11-01 07:00:00+07:00,85.5,85.5,85.5,85.5
2008-12-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2009-01-01 07:00:00+07:00,89.9,89.9,89.9,89.9
2009-02-01 07:00:00+07:00,85.8,85.8,85.8,85.8
2009-03-01 07:00:00+07:00,85.6,85.6,85.6,85.6
2009-04-01 07:00:00+07:00,92.7,92.7,92.7,92.7
2009-05-01 07:00:00+07:00,88.8,88.8,88.8,88.8
2009-06-01 07:00:00+07:00,100.1,100.1,100.1,100.1
2009-07-01 07:00:00+07:00,109.4,109.4,109.4,109.4
2009-08-01 07:00:00+07:00,113.4,113.4,113.4,113.4
2009-09-01 07:00:00+07:00,119.3,119.3,119.3,119.3
2009-10-01 07:00:00+07:00,121.4,121.4,121.4,121.4
2009-11-01 07:00:00+07:00,118.3,118.3,118.3,118.3
2009-12-01 07:00:00+07:00,113.8,113.8,113.8,113.8
2010-01-01 07:00:00+07:00,120.1,120.1,120.1,120.1
2010-02-01 07:00:00+07:00,117.0,117.0,117.0,117.0
2010-03-01 07:00:00+07:00,117.3,117.3,117.3,117.3
2010-04-01 07:00:00+07:00,116.1,116.1,116.1,116.1
2010-05-01 07:00:00+07:00,108.0,108.0,108.0,108.0
2010-06-01 07:00:00+07:00,101.9,101.9,101.9,101.9
2010-07-01 07:00:00+07:00,113.1,113.1,113.1,113.1
2010-08-01 07:00:00+07:00,119.2,119.2,119.2,119.2
2010-09-01 07:00:00+07:00,113.2,113.2,113.2,113.2
2010-10-01 07:00:00+07:00,117.0,117.0,117.0,117.0
2010-11-01 07:00:00+07:00,110.7,110.7,110.7,110.7
