time,open,high,low,close
2005-01-01 07:00:00+07:00,3.0,3.0,3.0,3.0
2005-04-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2005-07-01 07:00:00+07:00,3.1,3.1,3.1,3.1
2005-10-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2006-01-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2006-04-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2006-07-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2006-10-01 07:00:00+07:00,3.1,3.1,3.1,3.1
2007-01-01 07:00:00+07:00,4.4,4.4,4.4,4.4
2007-04-01 07:00:00+07:00,4.9,4.9,4.9,4.9
2007-07-01 07:00:00+07:00,4.5,4.5,4.5,4.5
2007-10-01 07:00:00+07:00,3.7,3.7,3.7,3.7
2008-01-01 07:00:00+07:00,3.3,3.3,3.3,3.3
2008-04-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2008-07-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2008-10-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2009-01-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2009-04-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2009-07-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2009-10-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2010-01-01 07:00:00+07:00,2.3,2.3,2.3,2.3
2010-04-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2010-07-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2010-10-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2011-01-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2011-04-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2011-07-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2011-10-01 07:00:00+07:00,3.4,3.4,3.4,3.4
2012-01-01 07:00:00+07:00,4.8,4.8,4.8,4.8
2012-04-01 07:00:00+07:00,4.2,4.2,4.2,4.2
2012-07-01 07:00:00+07:00,3.4,3.4,3.4,3.4
2012-10-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2013-01-01 07:00:00+07:00,2.3,2.3,2.3,2.3
2013-04-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2013-07-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2013-10-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2014-01-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2014-04-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2014-07-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2014-10-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2015-01-01 07:00:00+07:00,2.3,2.3,2.3,2.3
2015-04-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2015-07-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2015-10-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2016-01-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2016-04-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2016-07-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2016-10-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2017-01-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2017-04-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2017-07-01 07:00:00+07:00,3.0,3.0,3.0,3.0
2017-10-01 07:00:00+07:00,2.4,2.4,2.4,2.4
2018-01-01 07:00:00+07:00,3.1,3.1,3.1,3.1
2018-04-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2018-07-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2018-10-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2019-01-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2019-04-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2019-07-01 07:00:00+07:00,1.7,1.7,1.7,1.7
2019-10-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2020-01-01 07:00:00+07:00,1.2,1.2,1.2,1.2
2020-04-01 07:00:00+07:00,-6.1,-6.1,-6.1,-6.1
2020-07-01 07:00:00+07:00,-3.2,-3.2,-3.2,-3.2
2020-10-01 07:00:00+07:00,-0.4,-0.4,-0.4,-0.4
2021-01-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2021-04-01 07:00:00+07:00,10.6,10.6,10.6,10.6
2021-07-01 07:00:00+07:00,4.6,4.6,4.6,4.6
2021-10-01 07:00:00+07:00,5.4,5.4,5.4,5.4
2022-01-01 07:00:00+07:00,3.6,3.6,3.6,3.6
2022-04-01 07:00:00+07:00,3.5,3.5,3.5,3.5
2022-07-01 07:00:00+07:00,5.8,5.8,5.8,5.8
2022-10-01 07:00:00+07:00,2.4,2.4,2.4,2.4
2023-01-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2023-04-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2023-07-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2023-10-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2024-01-01 07:00:00+07:00,1.3,1.3,1.3,1.3
2024-04-01 07:00:00+07:00,1.0,1.0,1.0,1.0
2024-07-01 07:00:00+07:00,0.8,0.8,0.8,0.8
2024-10-01 07:00:00+07:00,1.3,1.3,1.3,1.3
