time,open,high,low,close
1998-09-01 07:00:00+07:00,71.3,71.3,71.3,71.3
1998-12-01 07:00:00+07:00,70.9,70.9,70.9,70.9
1999-03-01 07:00:00+07:00,70.7,70.7,70.7,70.7
1999-06-01 07:00:00+07:00,70.9,70.9,70.9,70.9
1999-09-01 07:00:00+07:00,71.5,71.5,71.5,71.5
1999-12-01 07:00:00+07:00,72.1,72.1,72.1,72.1
2000-03-01 07:00:00+07:00,73.1,73.1,73.1,73.1
2000-06-01 07:00:00+07:00,74.4,74.4,74.4,74.4
2000-09-01 07:00:00+07:00,74.8,74.8,74.8,74.8
2000-12-01 07:00:00+07:00,75.9,75.9,75.9,75.9
2001-03-01 07:00:00+07:00,75.8,75.8,75.8,75.8
2001-06-01 07:00:00+07:00,77.0,77.0,77.0,77.0
2001-09-01 07:00:00+07:00,76.8,76.8,76.8,76.8
2001-12-01 07:00:00+07:00,77.2,77.2,77.2,77.2
2002-03-01 07:00:00+07:00,77.3,77.3,77.3,77.3
2002-06-01 07:00:00+07:00,77.5,77.5,77.5,77.5
2002-09-01 07:00:00+07:00,77.8,77.8,77.8,77.8
2002-12-01 07:00:00+07:00,78.2,78.2,78.2,78.2
2003-03-01 07:00:00+07:00,78.8,78.8,78.8,78.8
2003-06-01 07:00:00+07:00,78.5,78.5,78.5,78.5
2003-09-01 07:00:00+07:00,79.0,79.0,79.0,79.0
2003-12-01 07:00:00+07:00,79.0,79.0,79.0,79.0
2004-03-01 07:00:00+07:00,79.5,79.5,79.5,79.5
2004-06-01 07:00:00+07:00,80.4,80.4,80.4,80.4
2004-09-01 07:00:00+07:00,81.5,81.5,81.5,81.5
2004-12-01 07:00:00+07:00,82.4,82.4,82.4,82.4
2005-03-01 07:00:00+07:00,82.4,82.4,82.4,82.4
2005-06-01 07:00:00+07:00,83.1,83.1,83.1,83.1
2005-09-01 07:00:00+07:00,84.3,84.3,84.3,84.3
2005-12-01 07:00:00+07:00,84.9,84.9,84.9,84.9
2006-03-01 07:00:00+07:00,85.5,85.5,85.5,85.5
2006-06-01 07:00:00+07:00,86.8,86.8,86.8,86.8
2006-09-01 07:00:00+07:00,87.7,87.7,87.7,87.7
2006-12-01 07:00:00+07:00,87.9,87.9,87.9,87.9
2007-03-01 07:00:00+07:00,87.9,87.9,87.9,87.9
2007-06-01 07:00:00+07:00,88.8,88.8,88.8,88.8
2007-09-01 07:00:00+07:00,89.8,89.8,89.8,89.8
2007-12-01 07:00:00+07:00,90.4,90.4,90.4,90.4
2008-03-01 07:00:00+07:00,92.1,92.1,92.1,92.1
2008-06-01 07:00:00+07:00,93.0,93.0,93.0,93.0
2008-09-01 07:00:00+07:00,94.8,94.8,94.8,94.8
2008-12-01 07:00:00+07:00,96.1,96.1,96.1,96.1
2009-03-01 07:00:00+07:00,95.8,95.8,95.8,95.8
2009-06-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2009-09-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2009-12-01 07:00:00+07:00,94.7,94.7,94.7,94.7
2010-03-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2010-06-01 07:00:00+07:00,95.9,95.9,95.9,95.9
2010-09-01 07:00:00+07:00,97.2,97.2,97.2,97.2
2010-12-01 07:00:00+07:00,97.3,97.3,97.3,97.3
2011-03-01 07:00:00+07:00,98.4,98.4,98.4,98.4
2011-06-01 07:00:00+07:00,99.2,99.2,99.2,99.2
2011-09-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2011-12-01 07:00:00+07:00,100.1,100.1,100.1,100.1
2012-03-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2012-06-01 07:00:00+07:00,100.3,100.3,100.3,100.3
2012-09-01 07:00:00+07:00,100.9,100.9,100.9,100.9
2012-12-01 07:00:00+07:00,101.1,101.1,101.1,101.1
2013-03-01 07:00:00+07:00,101.4,101.4,101.4,101.4
2013-06-01 07:00:00+07:00,101.5,101.5,101.5,101.5
2013-09-01 07:00:00+07:00,102.8,102.8,102.8,102.8
2013-12-01 07:00:00+07:00,103.0,103.0,103.0,103.0
2014-03-01 07:00:00+07:00,103.9,103.9,103.9,103.9
2014-06-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2014-09-01 07:00:00+07:00,104.0,104.0,104.0,104.0
2014-12-01 07:00:00+07:00,104.1,104.1,104.1,104.1
2015-03-01 07:00:00+07:00,104.6,104.6,104.6,104.6
2015-06-01 07:00:00+07:00,104.9,104.9,104.9,104.9
2015-09-01 07:00:00+07:00,105.8,105.8,105.8,105.8
2015-12-01 07:00:00+07:00,106.1,106.1,106.1,106.1
2016-03-01 07:00:00+07:00,105.9,105.9,105.9,105.9
2016-06-01 07:00:00+07:00,106.0,106.0,106.0,106.0
2016-09-01 07:00:00+07:00,106.3,106.3,106.3,106.3
2016-12-01 07:00:00+07:00,106.8,106.8,106.8,106.8
2017-03-01 07:00:00+07:00,107.3,107.3,107.3,107.3
2017-06-01 07:00:00+07:00,107.8,107.8,107.8,107.8
2017-09-01 07:00:00+07:00,108.0,108.0,108.0,108.0
2017-12-01 07:00:00+07:00,108.6,108.6,108.6,108.6
2018-03-01 07:00:00+07:00,109.1,109.1,109.1,109.1
2018-06-01 07:00:00+07:00,109.4,109.4,109.4,109.4
2018-09-01 07:00:00+07:00,110.3,110.3,110.3,110.3
2018-12-01 07:00:00+07:00,110.8,110.8,110.8,110.8
2019-03-01 07:00:00+07:00,111.2,111.2,111.2,111.2
2019-06-01 07:00:00+07:00,111.6,111.6,111.6,111.6
2019-09-01 07:00:00+07:00,112.1,112.1,112.1,112.1
2019-12-01 07:00:00+07:00,112.4,112.4,112.4,112.4
2020-03-01 07:00:00+07:00,112.6,112.6,112.6,112.6
2020-06-01 07:00:00+07:00,111.2,111.2,111.2,111.2
2020-09-01 07:00:00+07:00,111.7,111.7,111.7,111.7
2020-12-01 07:00:00+07:00,112.3,112.3,112.3,112.3
2021-03-01 07:00:00+07:00,112.8,112.8,112.8,112.8
2021-06-01 07:00:00+07:00,113.6,113.6,113.6,113.6
2021-09-01 07:00:00+07:00,114.9,114.9,114.9,114.9
2021-12-01 07:00:00+07:00,116.4,116.4,116.4,116.4
2022-03-01 07:00:00+07:00,118.3,118.3,118.3,118.3
2022-06-01 07:00:00+07:00,120.0,120.0,120.0,120.0
2022-09-01 07:00:00+07:00,122.3,122.3,122.3,122.3
2022-12-01 07:00:00+07:00,123.2,123.2,123.2,123.2
2023-03-01 07:00:00+07:00,124.1,124.1,124.1,124.1
2023-06-01 07:00:00+07:00,124.7,124.7,124.7,124.7
2023-09-01 07:00:00+07:00,127.0,127.0,127.0,127.0
2023-12-01 07:00:00+07:00,128.2,128.2,128.2,128.2
2024-03-01 07:00:00+07:00,129.4,129.4,129.4,129.4
2024-06-01 07:00:00+07:00,130.7,130.7,130.7,130.7
2024-09-01 07:00:00+07:00,132.0,132.0,132.0,132.0
2024-12-01 07:00:00+07:00,133.0,133.0,133.0,133.0
