time,open,high,low,close
2010-03-01 07:00:00+07:00,53.0,53.0,53.0,53.0
2010-04-01 07:00:00+07:00,53.6,53.6,53.6,53.6
2010-05-01 07:00:00+07:00,53.6,53.6,53.6,53.6
2010-06-01 07:00:00+07:00,55.1,55.1,55.1,55.1
2010-07-01 07:00:00+07:00,55.3,55.3,55.3,55.3
2010-08-01 07:00:00+07:00,52.6,52.6,52.6,52.6
2010-09-01 07:00:00+07:00,54.8,54.8,54.8,54.8
2010-10-01 07:00:00+07:00,52.8,52.8,52.8,52.8
2010-11-01 07:00:00+07:00,54.2,54.2,54.2,54.2
2010-12-01 07:00:00+07:00,54.4,54.4,54.4,54.4
2011-01-01 07:00:00+07:00,55.0,55.0,55.0,55.0
2011-02-01 07:00:00+07:00,54.0,54.0,54.0,54.0
2011-03-01 07:00:00+07:00,53.2,53.2,53.2,53.2
2011-04-01 07:00:00+07:00,55.6,55.6,55.6,55.6
2011-05-01 07:00:00+07:00,55.3,55.3,55.3,55.3
2011-06-01 07:00:00+07:00,55.5,55.5,55.5,55.5
2011-07-01 07:00:00+07:00,55.2,55.2,55.2,55.2
2011-08-01 07:00:00+07:00,52.8,52.8,52.8,52.8
2011-09-01 07:00:00+07:00,53.0,53.0,53.0,53.0
2011-10-01 07:00:00+07:00,51.5,51.5,51.5,51.5
2011-11-01 07:00:00+07:00,52.1,52.1,52.1,52.1
2011-12-01 07:00:00+07:00,52.3,52.3,52.3,52.3
2012-01-01 07:00:00+07:00,51.9,51.9,51.9,51.9
2012-02-01 07:00:00+07:00,53.9,53.9,53.9,53.9
2012-03-01 07:00:00+07:00,52.3,52.3,52.3,52.3
2012-04-01 07:00:00+07:00,54.0,54.0,54.0,54.0
2012-05-01 07:00:00+07:00,53.5,53.5,53.5,53.5
2012-06-01 07:00:00+07:00,53.3,53.3,53.3,53.3
2012-07-01 07:00:00+07:00,53.2,53.2,53.2,53.2
2012-08-01 07:00:00+07:00,53.8,53.8,53.8,53.8
2012-09-01 07:00:00+07:00,53.2,53.2,53.2,53.2
2012-10-01 07:00:00+07:00,54.6,54.6,54.6,54.6
2012-11-01 07:00:00+07:00,51.6,51.6,51.6,51.6
2012-12-01 07:00:00+07:00,54.5,54.5,54.5,54.5
2013-01-01 07:00:00+07:00,53.9,53.9,53.9,53.9
2013-02-01 07:00:00+07:00,55.5,55.5,55.5,55.5
2013-03-01 07:00:00+07:00,53.9,53.9,53.9,53.9
2013-04-01 07:00:00+07:00,52.9,52.9,52.9,52.9
2013-05-01 07:00:00+07:00,52.9,52.9,52.9,52.9
2013-06-01 07:00:00+07:00,54.9,54.9,54.9,54.9
2013-07-01 07:00:00+07:00,53.5,53.5,53.5,53.5
2013-08-01 07:00:00+07:00,54.0,54.0,54.0,54.0
2013-09-01 07:00:00+07:00,54.8,54.8,54.8,54.8
2013-10-01 07:00:00+07:00,54.1,54.1,54.1,54.1
2013-11-01 07:00:00+07:00,54.2,54.2,54.2,54.2
2013-12-01 07:00:00+07:00,52.3,52.3,52.3,52.3
2014-01-01 07:00:00+07:00,54.1,54.1,54.1,54.1
2014-02-01 07:00:00+07:00,53.9,53.9,53.9,53.9
2014-03-01 07:00:00+07:00,54.5,54.5,54.5,54.5
2014-04-01 07:00:00+07:00,54.8,54.8,54.8,54.8
2014-05-01 07:00:00+07:00,54.3,54.3,54.3,54.3
2014-06-01 07:00:00+07:00,55.3,55.3,55.3,55.3
2014-07-01 07:00:00+07:00,56.3,56.3,56.3,56.3
2014-08-01 07:00:00+07:00,56.4,56.4,56.4,56.4
2014-09-01 07:00:00+07:00,54.9,54.9,54.9,54.9
2014-10-01 07:00:00+07:00,54.2,54.2,54.2,54.2
2014-11-01 07:00:00+07:00,54.0,54.0,54.0,54.0
2014-12-01 07:00:00+07:00,52.5,52.5,52.5,52.5
2015-01-01 07:00:00+07:00,51.7,51.7,51.7,51.7
2015-02-01 07:00:00+07:00,52.0,52.0,52.0,52.0
2015-03-01 07:00:00+07:00,50.9,50.9,50.9,50.9
2015-04-01 07:00:00+07:00,51.1,51.1,51.1,51.1
2015-05-01 07:00:00+07:00,52.7,52.7,52.7,52.7
2015-06-01 07:00:00+07:00,51.6,51.6,51.6,51.6
2015-07-01 07:00:00+07:00,53.6,53.6,53.6,53.6
2015-08-01 07:00:00+07:00,49.8,49.8,49.8,49.8
2015-09-01 07:00:00+07:00,49.1,49.1,49.1,49.1
2015-10-01 07:00:00+07:00,51.4,51.4,51.4,51.4
2015-11-01 07:00:00+07:00,52.4,52.4,52.4,52.4
2015-12-01 07:00:00+07:00,51.7,51.7,51.7,51.7
2016-01-01 07:00:00+07:00,47.2,47.2,47.2,47.2
2016-02-01 07:00:00+07:00,46.8,46.8,46.8,46.8
2016-03-01 07:00:00+07:00,50.4,50.4,50.4,50.4
2016-04-01 07:00:00+07:00,53.7,53.7,53.7,53.7
2016-05-01 07:00:00+07:00,52.9,52.9,52.9,52.9
2016-06-01 07:00:00+07:00,52.3,52.3,52.3,52.3
2016-07-01 07:00:00+07:00,53.2,53.2,53.2,53.2
2016-08-01 07:00:00+07:00,52.7,52.7,52.7,52.7
2016-09-01 07:00:00+07:00,53.0,53.0,53.0,53.0
2016-10-01 07:00:00+07:00,53.0,53.0,53.0,53.0
2016-11-01 07:00:00+07:00,49.8,49.8,49.8,49.8
2016-12-01 07:00:00+07:00,52.1,52.1,52.1,52.1
2017-01-01 07:00:00+07:00,50.2,50.2,50.2,50.2
2017-02-01 07:00:00+07:00,50.2,50.2,50.2,50.2
2017-03-01 07:00:00+07:00,52.09,52.09,52.09,52.09
2017-04-01 07:00:00+07:00,53.22,53.22,53.22,53.22
2017-05-01 07:00:00+07:00,52.32,52.32,52.32,52.32
2017-06-01 07:00:00+07:00,53.43,53.43,53.43,53.43
2017-07-01 07:00:00+07:00,54.49,54.49,54.49,54.49
2017-08-01 07:00:00+07:00,55.61,55.61,55.61,55.61
2017-09-01 07:00:00+07:00,54.33,54.33,54.33,54.33
2017-10-01 07:00:00+07:00,55.0,55.0,55.0,55.0
2017-11-01 07:00:00+07:00,55.37,55.37,55.37,55.37
2017-12-01 07:00:00+07:00,54.5,54.5,54.5,54.5
2018-01-01 07:00:00+07:00,55.12,55.12,55.12,55.12
2018-02-01 07:00:00+07:00,55.72,55.72,55.72,55.72
2018-03-01 07:00:00+07:00,53.64,53.64,53.64,53.64
2018-04-01 07:00:00+07:00,56.43,56.43,56.43,56.43
2018-05-01 07:00:00+07:00,53.94,53.94,53.94,53.94
2018-06-01 07:00:00+07:00,55.83,55.83,55.83,55.83
2018-07-01 07:00:00+07:00,54.21,54.21,54.21,54.21
2018-08-01 07:00:00+07:00,55.55,55.55,55.55,55.55
2018-09-01 07:00:00+07:00,55.77,55.77,55.77,55.77
2018-10-01 07:00:00+07:00,55.25,55.25,55.25,55.25
2018-11-01 07:00:00+07:00,57.05,57.05,57.05,57.05
2018-12-01 07:00:00+07:00,52.43,52.43,52.43,52.43
2019-01-01 07:00:00+07:00,54.17,54.17,54.17,54.17
2019-02-01 07:00:00+07:00,54.12,54.12,54.12,54.12
2019-03-01 07:00:00+07:00,55.08,55.08,55.08,55.08
2019-04-01 07:00:00+07:00,50.76,50.76,50.76,50.76
2019-05-01 07:00:00+07:00,53.71,53.71,53.71,53.71
2019-06-01 07:00:00+07:00,56.76,56.76,56.76,56.76
2019-07-01 07:00:00+07:00,54.51,54.51,54.51,54.51
2019-08-01 07:00:00+07:00,55.6,55.6,55.6,55.6
2019-09-01 07:00:00+07:00,53.0,53.0,53.0,53.0
2019-10-01 07:00:00+07:00,53.02,53.02,53.02,53.02
2019-11-01 07:00:00+07:00,52.65,52.65,52.65,52.65
2019-12-01 07:00:00+07:00,53.18,53.18,53.18,53.18
2020-01-01 07:00:00+07:00,51.5,51.5,51.5,51.5
2020-02-01 07:00:00+07:00,53.97,53.97,53.97,53.97
2020-03-01 07:00:00+07:00,53.03,53.03,53.03,53.03
2020-04-01 07:00:00+07:00,35.6,35.6,35.6,35.6
2020-05-01 07:00:00+07:00,38.45,38.45,38.45,38.45
2020-06-01 07:00:00+07:00,42.33,42.33,42.33,42.33
2020-07-01 07:00:00+07:00,44.09,44.09,44.09,44.09
2020-08-01 07:00:00+07:00,43.96,43.96,43.96,43.96
2020-09-01 07:00:00+07:00,45.35,45.35,45.35,45.35
2020-10-01 07:00:00+07:00,42.08,42.08,42.08,42.08
2020-11-01 07:00:00+07:00,44.5,44.5,44.5,44.5
2020-12-01 07:00:00+07:00,45.25,45.25,45.25,45.25
2021-01-01 07:00:00+07:00,47.98,47.98,47.98,47.98
2021-02-01 07:00:00+07:00,46.34,46.34,46.34,46.34
2021-03-01 07:00:00+07:00,50.25,50.25,50.25,50.25
2021-04-01 07:00:00+07:00,52.41,52.41,52.41,52.41
2021-05-01 07:00:00+07:00,48.63,48.63,48.63,48.63
2021-06-01 07:00:00+07:00,51.49,51.49,51.49,51.49
2021-07-01 07:00:00+07:00,55.7,55.7,55.7,55.7
2021-08-01 07:00:00+07:00,55.01,55.01,55.01,55.01
2021-09-01 07:00:00+07:00,52.98,52.98,52.98,52.98
2021-10-01 07:00:00+07:00,55.37,55.37,55.37,55.37
2021-11-01 07:00:00+07:00,54.09,54.09,54.09,54.09
2021-12-01 07:00:00+07:00,52.28,52.28,52.28,52.28
2022-01-01 07:00:00+07:00,51.51,51.51,51.51,51.51
2022-02-01 07:00:00+07:00,51.41,51.41,51.41,51.41
2022-03-01 07:00:00+07:00,49.09,49.09,49.09,49.09
2022-04-01 07:00:00+07:00,49.98,49.98,49.98,49.98
2022-05-01 07:00:00+07:00,52.23,52.23,52.23,52.23
2022-06-01 07:00:00+07:00,50.42,50.42,50.42,50.42
2022-07-01 07:00:00+07:00,50.35,50.35,50.35,50.35
2022-08-01 07:00:00+07:00,50.32,50.32,50.32,50.32
2022-09-01 07:00:00+07:00,50.14,50.14,50.14,50.14
2022-10-01 07:00:00+07:00,48.51,48.51,48.51,48.51
2022-11-01 07:00:00+07:00,46.62,46.62,46.62,46.62
2022-12-01 07:00:00+07:00,49.34,49.34,49.34,49.34
2023-01-01 07:00:00+07:00,48.81,48.81,48.81,48.81
2023-02-01 07:00:00+07:00,47.49,47.49,47.49,47.49
2023-03-01 07:00:00+07:00,47.28,47.28,47.28,47.28
2023-04-01 07:00:00+07:00,49.24,49.24,49.24,49.24
2023-05-01 07:00:00+07:00,49.54,49.54,49.54,49.54
2023-06-01 07:00:00+07:00,51.43,51.43,51.43,51.43
2023-07-01 07:00:00+07:00,49.55,49.55,49.55,49.55
2023-08-01 07:00:00+07:00,46.9,46.9,46.9,46.9
2023-09-01 07:00:00+07:00,47.66,47.66,47.66,47.66
2023-10-01 07:00:00+07:00,45.56,45.56,45.56,45.56
2023-11-01 07:00:00+07:00,47.26,47.26,47.26,47.26
2023-12-01 07:00:00+07:00,46.57,46.57,46.57,46.57
2024-01-01 07:00:00+07:00,49.46,49.46,49.46,49.46
2024-02-01 07:00:00+07:00,47.38,47.38,47.38,47.38
2024-03-01 07:00:00+07:00,47.89,47.89,47.89,47.89
2024-04-01 07:00:00+07:00,48.0,48.0,48.0,48.0
2024-05-01 07:00:00+07:00,47.2,47.2,47.2,47.2
2024-06-01 07:00:00+07:00,47.1,47.1,47.1,47.1
2024-07-01 07:00:00+07:00,47.0,47.0,47.0,47.0
2024-08-01 07:00:00+07:00,50.1,50.1,50.1,50.1
2024-09-01 07:00:00+07:00,49.5,49.5,49.5,49.5
2024-10-01 07:00:00+07:00,49.1,49.1,49.1,49.1
2024-11-01 07:00:00+07:00,48.6,48.6,48.6,48.6
2024-12-01 07:00:00+07:00,47.9,47.9,47.9,47.9
2025-01-01 07:00:00+07:00,48.6,48.6,48.6,48.6
2025-02-01 07:00:00+07:00,48.8,48.8,48.8,48.8
2025-03-01 07:00:00+07:00,48.2,48.2,48.2,48.2
2025-04-01 07:00:00+07:00,47.7,47.7,47.7,47.7
