time,open,high,low,close
2014-01-01 07:00:00+07:00,85.7,85.7,85.7,85.7
2015-01-01 07:00:00+07:00,91.3,91.3,91.3,91.3
2016-01-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2017-01-01 07:00:00+07:00,90.1,90.1,90.1,90.1
2018-01-01 07:00:00+07:00,90.8,90.8,90.8,90.8
2019-01-01 07:00:00+07:00,90.2,90.2,90.2,90.2
2020-01-01 07:00:00+07:00,118.2,118.2,118.2,118.2
2021-01-01 07:00:00+07:00,113.5,113.5,113.5,113.5
2022-01-01 07:00:00+07:00,107.4,107.4,107.4,107.4
2023-01-01 07:00:00+07:00,107.5,107.5,107.5,107.5
