time,open,high,low,close
2005-04-01 07:00:00+07:00,80.3,80.3,80.3,80.3
2005-05-01 07:00:00+07:00,80.2,80.2,80.2,80.2
2005-06-01 07:00:00+07:00,80.0,80.0,80.0,80.0
2005-07-01 07:00:00+07:00,79.8,79.8,79.8,79.8
2005-08-01 07:00:00+07:00,80.1,80.1,80.1,80.1
2005-09-01 07:00:00+07:00,80.7,80.7,80.7,80.7
2005-10-01 07:00:00+07:00,80.8,80.8,80.8,80.8
2005-11-01 07:00:00+07:00,80.2,80.2,80.2,80.2
2005-12-01 07:00:00+07:00,80.0,80.0,80.0,80.0
2006-01-01 07:00:00+07:00,80.6,80.6,80.6,80.6
2006-02-01 07:00:00+07:00,80.2,80.2,80.2,80.2
2006-03-01 07:00:00+07:00,81.0,81.0,81.0,81.0
2006-04-01 07:00:00+07:00,82.0,82.0,82.0,82.0
2006-05-01 07:00:00+07:00,82.2,82.2,82.2,82.2
2006-06-01 07:00:00+07:00,82.1,82.1,82.1,82.1
2006-07-01 07:00:00+07:00,83.5,83.5,83.5,83.5
2006-08-01 07:00:00+07:00,82.9,82.9,82.9,82.9
2006-09-01 07:00:00+07:00,81.6,81.6,81.6,81.6
2006-10-01 07:00:00+07:00,81.5,81.5,81.5,81.5
2006-11-01 07:00:00+07:00,81.6,81.6,81.6,81.6
2006-12-01 07:00:00+07:00,82.7,82.7,82.7,82.7
2007-01-01 07:00:00+07:00,82.9,82.9,82.9,82.9
2007-02-01 07:00:00+07:00,83.7,83.7,83.7,83.7
2007-03-01 07:00:00+07:00,84.9,84.9,84.9,84.9
2007-04-01 07:00:00+07:00,85.1,85.1,85.1,85.1
2007-05-01 07:00:00+07:00,84.8,84.8,84.8,84.8
2007-06-01 07:00:00+07:00,83.8,83.8,83.8,83.8
2007-07-01 07:00:00+07:00,83.3,83.3,83.3,83.3
2007-08-01 07:00:00+07:00,82.5,82.5,82.5,82.5
2007-09-01 07:00:00+07:00,81.8,81.8,81.8,81.8
2007-10-01 07:00:00+07:00,80.8,80.8,80.8,80.8
2007-11-01 07:00:00+07:00,81.3,81.3,81.3,81.3
2007-12-01 07:00:00+07:00,82.3,82.3,82.3,82.3
2008-01-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2008-02-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2008-03-01 07:00:00+07:00,84.9,84.9,84.9,84.9
2008-04-01 07:00:00+07:00,86.3,86.3,86.3,86.3
2008-05-01 07:00:00+07:00,87.2,87.2,87.2,87.2
2008-06-01 07:00:00+07:00,88.8,88.8,88.8,88.8
2008-07-01 07:00:00+07:00,89.6,89.6,89.6,89.6
2008-08-01 07:00:00+07:00,89.8,89.8,89.8,89.8
2008-09-01 07:00:00+07:00,88.8,88.8,88.8,88.8
2008-10-01 07:00:00+07:00,88.7,88.7,88.7,88.7
2008-11-01 07:00:00+07:00,86.1,86.1,86.1,86.1
2008-12-01 07:00:00+07:00,83.9,83.9,83.9,83.9
2009-01-01 07:00:00+07:00,83.9,83.9,83.9,83.9
2009-02-01 07:00:00+07:00,84.3,84.3,84.3,84.3
2009-03-01 07:00:00+07:00,84.6,84.6,84.6,84.6
2009-04-01 07:00:00+07:00,84.3,84.3,84.3,84.3
2009-05-01 07:00:00+07:00,83.3,83.3,83.3,83.3
2009-06-01 07:00:00+07:00,83.7,83.7,83.7,83.7
2009-07-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2009-08-01 07:00:00+07:00,83.6,83.6,83.6,83.6
2009-09-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2009-10-01 07:00:00+07:00,82.9,82.9,82.9,82.9
2009-11-01 07:00:00+07:00,83.6,83.6,83.6,83.6
2009-12-01 07:00:00+07:00,83.6,83.6,83.6,83.6
2010-01-01 07:00:00+07:00,84.1,84.1,84.1,84.1
2010-02-01 07:00:00+07:00,84.1,84.1,84.1,84.1
2010-03-01 07:00:00+07:00,84.1,84.1,84.1,84.1
2010-04-01 07:00:00+07:00,84.5,84.5,84.5,84.5
2010-05-01 07:00:00+07:00,84.8,84.8,84.8,84.8
2010-06-01 07:00:00+07:00,84.2,84.2,84.2,84.2
2010-07-01 07:00:00+07:00,84.1,84.1,84.1,84.1
2010-08-01 07:00:00+07:00,84.4,84.4,84.4,84.4
2010-09-01 07:00:00+07:00,85.1,85.1,85.1,85.1
2010-10-01 07:00:00+07:00,85.8,85.8,85.8,85.8
2010-11-01 07:00:00+07:00,86.6,86.6,86.6,86.6
2010-12-01 07:00:00+07:00,87.4,87.4,87.4,87.4
2011-01-01 07:00:00+07:00,88.0,88.0,88.0,88.0
2011-02-01 07:00:00+07:00,89.0,89.0,89.0,89.0
2011-03-01 07:00:00+07:00,90.5,90.5,90.5,90.5
2011-04-01 07:00:00+07:00,91.4,91.4,91.4,91.4
2011-05-01 07:00:00+07:00,91.0,91.0,91.0,91.0
2011-06-01 07:00:00+07:00,91.0,91.0,91.0,91.0
2011-07-01 07:00:00+07:00,91.0,91.0,91.0,91.0
2011-08-01 07:00:00+07:00,91.7,91.7,91.7,91.7
2011-09-01 07:00:00+07:00,92.1,92.1,92.1,92.1
2011-10-01 07:00:00+07:00,91.5,91.5,91.5,91.5
2011-11-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2011-12-01 07:00:00+07:00,90.9,90.9,90.9,90.9
2012-01-01 07:00:00+07:00,91.4,91.4,91.4,91.4
2012-02-01 07:00:00+07:00,92.1,92.1,92.1,92.1
2012-03-01 07:00:00+07:00,92.6,92.6,92.6,92.6
2012-04-01 07:00:00+07:00,92.7,92.7,92.7,92.7
2012-05-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2012-06-01 07:00:00+07:00,91.5,91.5,91.5,91.5
2012-07-01 07:00:00+07:00,91.1,91.1,91.1,91.1
2012-08-01 07:00:00+07:00,91.2,91.2,91.2,91.2
2012-09-01 07:00:00+07:00,92.2,92.2,92.2,92.2
2012-10-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2012-11-01 07:00:00+07:00,91.7,91.7,91.7,91.7
2012-12-01 07:00:00+07:00,91.4,91.4,91.4,91.4
2013-01-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2013-02-01 07:00:00+07:00,93.1,93.1,93.1,93.1
2013-03-01 07:00:00+07:00,92.9,92.9,92.9,92.9
2013-04-01 07:00:00+07:00,91.9,91.9,91.9,91.9
2013-05-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2013-06-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2013-07-01 07:00:00+07:00,92.1,92.1,92.1,92.1
2013-08-01 07:00:00+07:00,92.5,92.5,92.5,92.5
2013-09-01 07:00:00+07:00,92.2,92.2,92.2,92.2
2013-10-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2013-11-01 07:00:00+07:00,91.9,91.9,91.9,91.9
2013-12-01 07:00:00+07:00,92.6,92.6,92.6,92.6
2014-01-01 07:00:00+07:00,94.0,94.0,94.0,94.0
2014-02-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2014-03-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2014-04-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2014-05-01 07:00:00+07:00,94.8,94.8,94.8,94.8
2014-06-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2014-07-01 07:00:00+07:00,94.7,94.7,94.7,94.7
2014-08-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2014-09-01 07:00:00+07:00,94.6,94.6,94.6,94.6
2014-10-01 07:00:00+07:00,94.0,94.0,94.0,94.0
2014-11-01 07:00:00+07:00,93.7,93.7,93.7,93.7
2014-12-01 07:00:00+07:00,92.2,92.2,92.2,92.2
2015-01-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2015-02-01 07:00:00+07:00,93.8,93.8,93.8,93.8
2015-03-01 07:00:00+07:00,94.0,94.0,94.0,94.0
2015-04-01 07:00:00+07:00,93.2,93.2,93.2,93.2
2015-05-01 07:00:00+07:00,93.7,93.7,93.7,93.7
2015-06-01 07:00:00+07:00,94.2,94.2,94.2,94.2
2015-07-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2015-08-01 07:00:00+07:00,94.5,94.5,94.5,94.5
2015-09-01 07:00:00+07:00,94.1,94.1,94.1,94.1
2015-10-01 07:00:00+07:00,93.7,93.7,93.7,93.7
2015-11-01 07:00:00+07:00,93.4,93.4,93.4,93.4
2015-12-01 07:00:00+07:00,93.2,93.2,93.2,93.2
2016-01-01 07:00:00+07:00,93.6,93.6,93.6,93.6
2016-02-01 07:00:00+07:00,92.7,92.7,92.7,92.7
2016-03-01 07:00:00+07:00,92.1,92.1,92.1,92.1
2016-04-01 07:00:00+07:00,91.7,91.7,91.7,91.7
2016-05-01 07:00:00+07:00,92.7,92.7,92.7,92.7
2016-06-01 07:00:00+07:00,93.5,93.5,93.5,93.5
2016-07-01 07:00:00+07:00,93.8,93.8,93.8,93.8
2016-08-01 07:00:00+07:00,93.5,93.5,93.5,93.5
2016-09-01 07:00:00+07:00,93.8,93.8,93.8,93.8
2016-10-01 07:00:00+07:00,94.6,94.6,94.6,94.6
2016-11-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2016-12-01 07:00:00+07:00,95.2,95.2,95.2,95.2
2017-01-01 07:00:00+07:00,95.9,95.9,95.9,95.9
2017-02-01 07:00:00+07:00,96.1,96.1,96.1,96.1
2017-03-01 07:00:00+07:00,96.9,96.9,96.9,96.9
2017-04-01 07:00:00+07:00,97.4,97.4,97.4,97.4
2017-05-01 07:00:00+07:00,97.6,97.6,97.6,97.6
2017-06-01 07:00:00+07:00,96.5,96.5,96.5,96.5
2017-07-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2017-08-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2017-09-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2017-10-01 07:00:00+07:00,96.1,96.1,96.1,96.1
2017-11-01 07:00:00+07:00,97.6,97.6,97.6,97.6
2017-12-01 07:00:00+07:00,97.5,97.5,97.5,97.5
2018-01-01 07:00:00+07:00,98.1,98.1,98.1,98.1
2018-02-01 07:00:00+07:00,98.3,98.3,98.3,98.3
2018-03-01 07:00:00+07:00,99.2,99.2,99.2,99.2
2018-04-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2018-05-01 07:00:00+07:00,101.0,101.0,101.0,101.0
2018-06-01 07:00:00+07:00,101.6,101.6,101.6,101.6
2018-07-01 07:00:00+07:00,101.3,101.3,101.3,101.3
2018-08-01 07:00:00+07:00,100.8,100.8,100.8,100.8
2018-09-01 07:00:00+07:00,101.0,101.0,101.0,101.0
2018-10-01 07:00:00+07:00,101.1,101.1,101.1,101.1
2018-11-01 07:00:00+07:00,100.2,100.2,100.2,100.2
2018-12-01 07:00:00+07:00,99.5,99.5,99.5,99.5
2019-01-01 07:00:00+07:00,99.1,99.1,99.1,99.1
2019-02-01 07:00:00+07:00,99.4,99.4,99.4,99.4
2019-03-01 07:00:00+07:00,100.6,100.6,100.6,100.6
2019-04-01 07:00:00+07:00,101.5,101.5,101.5,101.5
2019-05-01 07:00:00+07:00,101.4,101.4,101.4,101.4
2019-06-01 07:00:00+07:00,99.9,99.9,99.9,99.9
2019-07-01 07:00:00+07:00,99.6,99.6,99.6,99.6
2019-08-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2019-09-01 07:00:00+07:00,99.7,99.7,99.7,99.7
2019-10-01 07:00:00+07:00,99.7,99.7,99.7,99.7
2019-11-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2019-12-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2020-01-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2020-02-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2020-03-01 07:00:00+07:00,98.9,98.9,98.9,98.9
2020-04-01 07:00:00+07:00,97.0,97.0,97.0,97.0
2020-05-01 07:00:00+07:00,97.9,97.9,97.9,97.9
2020-06-01 07:00:00+07:00,98.0,98.0,98.0,98.0
2020-07-01 07:00:00+07:00,99.1,99.1,99.1,99.1
2020-08-01 07:00:00+07:00,100.1,100.1,100.1,100.1
2020-09-01 07:00:00+07:00,100.8,100.8,100.8,100.8
2020-10-01 07:00:00+07:00,100.9,100.9,100.9,100.9
2020-11-01 07:00:00+07:00,100.5,100.5,100.5,100.5
2020-12-01 07:00:00+07:00,102.1,102.1,102.1,102.1
2021-01-01 07:00:00+07:00,104.3,104.3,104.3,104.3
2021-02-01 07:00:00+07:00,107.4,107.4,107.4,107.4
2021-03-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2021-04-01 07:00:00+07:00,111.5,111.5,111.5,111.5
2021-05-01 07:00:00+07:00,114.8,114.8,114.8,114.8
2021-06-01 07:00:00+07:00,115.0,115.0,115.0,115.0
2021-07-01 07:00:00+07:00,115.0,115.0,115.0,115.0
2021-08-01 07:00:00+07:00,114.6,114.6,114.6,114.6
2021-09-01 07:00:00+07:00,116.0,116.0,116.0,116.0
2021-10-01 07:00:00+07:00,117.6,117.6,117.6,117.6
2021-11-01 07:00:00+07:00,117.6,117.6,117.6,117.6
2021-12-01 07:00:00+07:00,118.2,118.2,118.2,118.2
2022-01-01 07:00:00+07:00,121.3,121.3,121.3,121.3
2022-02-01 07:00:00+07:00,124.6,124.6,124.6,124.6
2022-03-01 07:00:00+07:00,129.0,129.0,129.0,129.0
2022-04-01 07:00:00+07:00,130.5,130.5,130.5,130.5
2022-05-01 07:00:00+07:00,132.7,132.7,132.7,132.7
2022-06-01 07:00:00+07:00,131.6,131.6,131.6,131.6
2022-07-01 07:00:00+07:00,128.4,128.4,128.4,128.4
2022-08-01 07:00:00+07:00,126.5,126.5,126.5,126.5
2022-09-01 07:00:00+07:00,126.3,126.3,126.3,126.3
2022-10-01 07:00:00+07:00,129.2,129.2,129.2,129.2
2022-11-01 07:00:00+07:00,128.2,128.2,128.2,128.2
2022-12-01 07:00:00+07:00,127.1,127.1,127.1,127.1
2023-01-01 07:00:00+07:00,127.1,127.1,127.1,127.1
2023-02-01 07:00:00+07:00,126.4,126.4,126.4,126.4
2023-03-01 07:00:00+07:00,126.2,126.2,126.2,126.2
2023-04-01 07:00:00+07:00,125.9,125.9,125.9,125.9
2023-05-01 07:00:00+07:00,125.2,125.2,125.2,125.2
2023-06-01 07:00:00+07:00,124.3,124.3,124.3,124.3
2023-07-01 07:00:00+07:00,124.3,124.3,124.3,124.3
2023-08-01 07:00:00+07:00,126.5,126.5,126.5,126.5
2023-09-01 07:00:00+07:00,127.1,127.1,127.1,127.1
2023-10-01 07:00:00+07:00,125.9,125.9,125.9,125.9
2023-11-01 07:00:00+07:00,125.5,125.5,125.5,125.5
2023-12-01 07:00:00+07:00,123.5,123.5,123.5,123.5
2024-01-01 07:00:00+07:00,123.4,123.4,123.4,123.4
2024-02-01 07:00:00+07:00,124.6,124.6,124.6,124.6
2024-03-01 07:00:00+07:00,125.7,125.7,125.7,125.7
2024-04-01 07:00:00+07:00,127.5,127.5,127.5,127.5
2024-05-01 07:00:00+07:00,127.8,127.8,127.8,127.8
2024-06-01 07:00:00+07:00,127.9,127.9,127.9,127.9
2024-07-01 07:00:00+07:00,127.8,127.8,127.8,127.8
2024-08-01 07:00:00+07:00,126.7,126.7,126.7,126.7
2024-09-01 07:00:00+07:00,125.7,125.7,125.7,125.7
2024-10-01 07:00:00+07:00,127.2,127.2,127.2,127.2
2024-11-01 07:00:00+07:00,128.0,128.0,128.0,128.0
2024-12-01 07:00:00+07:00,128.4,128.4,128.4,128.4
2025-01-01 07:00:00+07:00,130.2,130.2,130.2,130.2
2025-02-01 07:00:00+07:00,131.0,131.0,131.0,131.0
2025-03-01 07:00:00+07:00,131.6,131.6,131.6,131.6
