time,open,high,low,close
1972-12-01 07:00:00+07:00,20.0,20.0,20.0,20.0
1973-03-01 07:00:00+07:00,11.1,11.1,11.1,11.1
1973-06-01 07:00:00+07:00,8.2,8.2,8.2,8.2
1973-09-01 07:00:00+07:00,6.4,6.4,6.4,6.4
1973-12-01 07:00:00+07:00,-1.0,-1.0,-1.0,-1.0
1974-03-01 07:00:00+07:00,-1.7,-1.7,-1.7,-1.7
1974-06-01 07:00:00+07:00,-13.2,-13.2,-13.2,-13.2
1974-09-01 07:00:00+07:00,-12.7,-12.7,-12.7,-12.7
1974-12-01 07:00:00+07:00,-17.3,-17.3,-17.3,-17.3
1975-03-01 07:00:00+07:00,-21.7,-21.7,-21.7,-21.7
1975-06-01 07:00:00+07:00,-18.2,-18.2,-18.2,-18.2
1975-09-01 07:00:00+07:00,-19.6,-19.6,-19.6,-19.6
1975-12-01 07:00:00+07:00,-15.6,-15.6,-15.6,-15.6
1976-03-01 07:00:00+07:00,-18.1,-18.1,-18.1,-18.1
1976-06-01 07:00:00+07:00,-2.3,-2.3,-2.3,-2.3
1976-09-01 07:00:00+07:00,8.1,8.1,8.1,8.1
1976-12-01 07:00:00+07:00,4.7,4.7,4.7,4.7
1977-03-01 07:00:00+07:00,-9.6,-9.6,-9.6,-9.6
1977-06-01 07:00:00+07:00,3.4,3.4,3.4,3.4
1977-09-01 07:00:00+07:00,6.7,6.7,6.7,6.7
1977-12-01 07:00:00+07:00,4.2,4.2,4.2,4.2
1978-03-01 07:00:00+07:00,8.1,8.1,8.1,8.1
1978-06-01 07:00:00+07:00,3.8,3.8,3.8,3.8
1978-09-01 07:00:00+07:00,4.8,4.8,4.8,4.8
1978-12-01 07:00:00+07:00,-3.7,-3.7,-3.7,-3.7
1979-03-01 07:00:00+07:00,4.0,4.0,4.0,4.0
1979-06-01 07:00:00+07:00,6.5,6.5,6.5,6.5
1979-09-01 07:00:00+07:00,-3.3,-3.3,-3.3,-3.3
1979-12-01 07:00:00+07:00,-1.5,-1.5,-1.5,-1.5
1980-03-01 07:00:00+07:00,0.4,0.4,0.4,0.4
1980-06-01 07:00:00+07:00,-0.3,-0.3,-0.3,-0.3
1980-09-01 07:00:00+07:00,-0.4,-0.4,-0.4,-0.4
1980-12-01 07:00:00+07:00,-1.3,-1.3,-1.3,-1.3
1981-03-01 07:00:00+07:00,-4.4,-4.4,-4.4,-4.4
1981-06-01 07:00:00+07:00,-15.9,-15.9,-15.9,-15.9
1981-09-01 07:00:00+07:00,-15.4,-15.4,-15.4,-15.4
1981-12-01 07:00:00+07:00,-20.0,-20.0,-20.0,-20.0
1982-03-01 07:00:00+07:00,-14.9,-14.9,-14.9,-14.9
1982-06-01 07:00:00+07:00,-15.3,-15.3,-15.3,-15.3
1982-09-01 07:00:00+07:00,-20.1,-20.1,-20.1,-20.1
1982-12-01 07:00:00+07:00,-18.9,-18.9,-18.9,-18.9
1983-03-01 07:00:00+07:00,-18.3,-18.3,-18.3,-18.3
1983-06-01 07:00:00+07:00,-5.5,-5.5,-5.5,-5.5
1983-09-01 07:00:00+07:00,-7.6,-7.6,-7.6,-7.6
1983-12-01 07:00:00+07:00,-5.5,-5.5,-5.5,-5.5
1984-03-01 07:00:00+07:00,0.8,0.8,0.8,0.8
1984-06-01 07:00:00+07:00,-4.4,-4.4,-4.4,-4.4
1984-09-01 07:00:00+07:00,1.5,1.5,1.5,1.5
1984-12-01 07:00:00+07:00,-0.2,-0.2,-0.2,-0.2
1985-03-01 07:00:00+07:00,4.7,4.7,4.7,4.7
1985-06-01 07:00:00+07:00,-0.4,-0.4,-0.4,-0.4
1985-09-01 07:00:00+07:00,1.9,1.9,1.9,1.9
1985-12-01 07:00:00+07:00,8.7,8.7,8.7,8.7
1986-03-01 07:00:00+07:00,14.5,14.5,14.5,14.5
1986-06-01 07:00:00+07:00,10.8,10.8,10.8,10.8
1986-09-01 07:00:00+07:00,4.7,4.7,4.7,4.7
1986-12-01 07:00:00+07:00,10.4,10.4,10.4,10.4
1987-03-01 07:00:00+07:00,8.6,8.6,8.6,8.6
1987-06-01 07:00:00+07:00,6.4,6.4,6.4,6.4
1987-09-01 07:00:00+07:00,5.3,5.3,5.3,5.3
1987-12-01 07:00:00+07:00,3.0,3.0,3.0,3.0
1988-03-01 07:00:00+07:00,1.7,1.7,1.7,1.7
1988-06-01 07:00:00+07:00,0.2,0.2,0.2,0.2
1988-09-01 07:00:00+07:00,7.9,7.9,7.9,7.9
1988-12-01 07:00:00+07:00,10.2,10.2,10.2,10.2
1989-03-01 07:00:00+07:00,17.8,17.8,17.8,17.8
