time,open,high,low,close
2005-04-01 07:00:00+07:00,97.61,97.61,97.61,97.61
2005-05-01 07:00:00+07:00,97.52,97.52,97.52,97.52
2005-06-01 07:00:00+07:00,97.3,97.3,97.3,97.3
2005-07-01 07:00:00+07:00,96.77,96.77,96.77,96.77
2005-08-01 07:00:00+07:00,96.91,96.91,96.91,96.91
2005-09-01 07:00:00+07:00,97.33,97.33,97.33,97.33
2005-10-01 07:00:00+07:00,98.18,98.18,98.18,98.18
2005-11-01 07:00:00+07:00,97.9,97.9,97.9,97.9
2005-12-01 07:00:00+07:00,97.8,97.8,97.8,97.8
2006-01-01 07:00:00+07:00,97.62,97.62,97.62,97.62
2006-02-01 07:00:00+07:00,97.92,97.92,97.92,97.92
2006-03-01 07:00:00+07:00,97.82,97.82,97.82,97.82
2006-04-01 07:00:00+07:00,98.65,98.65,98.65,98.65
2006-05-01 07:00:00+07:00,98.85,98.85,98.85,98.85
2006-06-01 07:00:00+07:00,98.82,98.82,98.82,98.82
2006-07-01 07:00:00+07:00,98.14,98.14,98.14,98.14
2006-08-01 07:00:00+07:00,98.31,98.31,98.31,98.31
2006-09-01 07:00:00+07:00,98.1,98.1,98.1,98.1
2006-10-01 07:00:00+07:00,98.43,98.43,98.43,98.43
2006-11-01 07:00:00+07:00,98.39,98.39,98.39,98.39
2006-12-01 07:00:00+07:00,98.41,98.41,98.41,98.41
2007-01-01 07:00:00+07:00,97.72,97.72,97.72,97.72
2007-02-01 07:00:00+07:00,97.91,97.91,97.91,97.91
2007-03-01 07:00:00+07:00,97.99,97.99,97.99,97.99
2007-04-01 07:00:00+07:00,99.1,99.1,99.1,99.1
2007-05-01 07:00:00+07:00,99.33,99.33,99.33,99.33
2007-06-01 07:00:00+07:00,99.44,99.44,99.44,99.44
2007-07-01 07:00:00+07:00,98.85,98.85,98.85,98.85
2007-08-01 07:00:00+07:00,98.74,98.74,98.74,98.74
2007-09-01 07:00:00+07:00,98.84,98.84,98.84,98.84
2007-10-01 07:00:00+07:00,99.68,99.68,99.68,99.68
2007-11-01 07:00:00+07:00,100.13,100.13,100.13,100.13
2007-12-01 07:00:00+07:00,100.38,100.38,100.38,100.38
2008-01-01 07:00:00+07:00,100.09,100.09,100.09,100.09
2008-02-01 07:00:00+07:00,100.23,100.23,100.23,100.23
2008-03-01 07:00:00+07:00,100.57,100.57,100.57,100.57
2008-04-01 07:00:00+07:00,101.36,101.36,101.36,101.36
2008-05-01 07:00:00+07:00,102.16,102.16,102.16,102.16
2008-06-01 07:00:00+07:00,102.34,102.34,102.34,102.34
2008-07-01 07:00:00+07:00,101.89,101.89,101.89,101.89
2008-08-01 07:00:00+07:00,101.63,101.63,101.63,101.63
2008-09-01 07:00:00+07:00,101.73,101.73,101.73,101.73
2008-10-01 07:00:00+07:00,102.27,102.27,102.27,102.27
2008-11-01 07:00:00+07:00,101.59,101.59,101.59,101.59
2008-12-01 07:00:00+07:00,101.08,101.08,101.08,101.08
2009-01-01 07:00:00+07:00,100.23,100.23,100.23,100.23
2009-02-01 07:00:00+07:00,100.46,100.46,100.46,100.46
2009-03-01 07:00:00+07:00,100.14,100.14,100.14,100.14
2009-04-01 07:00:00+07:00,101.02,101.02,101.02,101.02
2009-05-01 07:00:00+07:00,101.18,101.18,101.18,101.18
2009-06-01 07:00:00+07:00,101.36,101.36,101.36,101.36
2009-07-01 07:00:00+07:00,100.69,100.69,100.69,100.69
2009-08-01 07:00:00+07:00,100.8,100.8,100.8,100.8
2009-09-01 07:00:00+07:00,100.79,100.79,100.79,100.79
2009-10-01 07:00:00+07:00,101.42,101.42,101.42,101.42
2009-11-01 07:00:00+07:00,101.61,101.61,101.61,101.61
2009-12-01 07:00:00+07:00,101.37,101.37,101.37,101.37
2010-01-01 07:00:00+07:00,101.25,101.25,101.25,101.25
2010-02-01 07:00:00+07:00,101.4,101.4,101.4,101.4
2010-03-01 07:00:00+07:00,101.54,101.54,101.54,101.54
2010-04-01 07:00:00+07:00,102.41,102.41,102.41,102.41
2010-05-01 07:00:00+07:00,102.3,102.3,102.3,102.3
2010-06-01 07:00:00+07:00,101.86,101.86,101.86,101.86
2010-07-01 07:00:00+07:00,101.11,101.11,101.11,101.11
2010-08-01 07:00:00+07:00,101.1,101.1,101.1,101.1
2010-09-01 07:00:00+07:00,101.08,101.08,101.08,101.08
2010-10-01 07:00:00+07:00,101.61,101.61,101.61,101.61
2010-11-01 07:00:00+07:00,101.86,101.86,101.86,101.86
2010-12-01 07:00:00+07:00,101.89,101.89,101.89,101.89
2011-01-01 07:00:00+07:00,101.54,101.54,101.54,101.54
2011-02-01 07:00:00+07:00,101.92,101.92,101.92,101.92
2011-03-01 07:00:00+07:00,102.56,102.56,102.56,102.56
2011-04-01 07:00:00+07:00,102.67,102.67,102.67,102.67
2011-05-01 07:00:00+07:00,102.68,102.68,102.68,102.68
2011-06-01 07:00:00+07:00,102.43,102.43,102.43,102.43
2011-07-01 07:00:00+07:00,101.59,101.59,101.59,101.59
2011-08-01 07:00:00+07:00,101.29,101.29,101.29,101.29
2011-09-01 07:00:00+07:00,101.57,101.57,101.57,101.57
2011-10-01 07:00:00+07:00,101.5,101.5,101.5,101.5
2011-11-01 07:00:00+07:00,101.32,101.32,101.32,101.32
2011-12-01 07:00:00+07:00,101.16,101.16,101.16,101.16
2012-01-01 07:00:00+07:00,100.73,100.73,100.73,100.73
2012-02-01 07:00:00+07:00,101.02,101.02,101.02,101.02
2012-03-01 07:00:00+07:00,101.58,101.58,101.58,101.58
2012-04-01 07:00:00+07:00,101.66,101.66,101.66,101.66
2012-05-01 07:00:00+07:00,101.64,101.64,101.64,101.64
2012-06-01 07:00:00+07:00,101.35,101.35,101.35,101.35
2012-07-01 07:00:00+07:00,100.86,100.86,100.86,100.86
2012-08-01 07:00:00+07:00,100.83,100.83,100.83,100.83
2012-09-01 07:00:00+07:00,101.15,101.15,101.15,101.15
2012-10-01 07:00:00+07:00,101.27,101.27,101.27,101.27
2012-11-01 07:00:00+07:00,100.94,100.94,100.94,100.94
2012-12-01 07:00:00+07:00,100.73,100.73,100.73,100.73
2013-01-01 07:00:00+07:00,100.46,100.46,100.46,100.46
2013-02-01 07:00:00+07:00,100.76,100.76,100.76,100.76
2013-03-01 07:00:00+07:00,100.98,100.98,100.98,100.98
2013-04-01 07:00:00+07:00,101.01,101.01,101.01,101.01
2013-05-01 07:00:00+07:00,101.12,101.12,101.12,101.12
2013-06-01 07:00:00+07:00,101.22,101.22,101.22,101.22
2013-07-01 07:00:00+07:00,100.86,100.86,100.86,100.86
2013-08-01 07:00:00+07:00,100.79,100.79,100.79,100.79
2013-09-01 07:00:00+07:00,101.09,101.09,101.09,101.09
2013-10-01 07:00:00+07:00,101.01,101.01,101.01,101.01
2013-11-01 07:00:00+07:00,101.02,101.02,101.02,101.02
2013-12-01 07:00:00+07:00,100.79,100.79,100.79,100.79
2014-01-01 07:00:00+07:00,100.52,100.52,100.52,100.52
2014-02-01 07:00:00+07:00,100.62,100.62,100.62,100.62
2014-03-01 07:00:00+07:00,100.98,100.98,100.98,100.98
2014-04-01 07:00:00+07:00,101.05,101.05,101.05,101.05
2014-05-01 07:00:00+07:00,101.35,101.35,101.35,101.35
2014-06-01 07:00:00+07:00,101.27,101.27,101.27,101.27
2014-07-01 07:00:00+07:00,100.89,100.89,100.89,100.89
2014-08-01 07:00:00+07:00,100.86,100.86,100.86,100.86
2014-09-01 07:00:00+07:00,101.0,101.0,101.0,101.0
2014-10-01 07:00:00+07:00,101.0,101.0,101.0,101.0
2014-11-01 07:00:00+07:00,100.96,100.96,100.96,100.96
2014-12-01 07:00:00+07:00,100.46,100.46,100.46,100.46
2015-01-01 07:00:00+07:00,100.03,100.03,100.03,100.03
2015-02-01 07:00:00+07:00,99.77,99.77,99.77,99.77
2015-03-01 07:00:00+07:00,100.1,100.1,100.1,100.1
2015-04-01 07:00:00+07:00,99.92,99.92,99.92,99.92
2015-05-01 07:00:00+07:00,100.15,100.15,100.15,100.15
2015-06-01 07:00:00+07:00,100.22,100.22,100.22,100.22
2015-07-01 07:00:00+07:00,99.61,99.61,99.61,99.61
2015-08-01 07:00:00+07:00,99.45,99.45,99.45,99.45
2015-09-01 07:00:00+07:00,99.55,99.55,99.55,99.55
2015-10-01 07:00:00+07:00,99.63,99.63,99.63,99.63
2015-11-01 07:00:00+07:00,99.56,99.56,99.56,99.56
2015-12-01 07:00:00+07:00,99.15,99.15,99.15,99.15
2016-01-01 07:00:00+07:00,98.76,98.76,98.76,98.76
2016-02-01 07:00:00+07:00,98.95,98.95,98.95,98.95
2016-03-01 07:00:00+07:00,99.24,99.24,99.24,99.24
2016-04-01 07:00:00+07:00,99.56,99.56,99.56,99.56
2016-05-01 07:00:00+07:00,99.71,99.71,99.71,99.71
2016-06-01 07:00:00+07:00,99.85,99.85,99.85,99.85
2016-07-01 07:00:00+07:00,99.4,99.4,99.4,99.4
2016-08-01 07:00:00+07:00,99.3,99.3,99.3,99.3
2016-09-01 07:00:00+07:00,99.36,99.36,99.36,99.36
2016-10-01 07:00:00+07:00,99.42,99.42,99.42,99.42
2016-11-01 07:00:00+07:00,99.22,99.22,99.22,99.22
2016-12-01 07:00:00+07:00,99.14,99.14,99.14,99.14
2017-01-01 07:00:00+07:00,99.11,99.11,99.11,99.11
2017-02-01 07:00:00+07:00,99.58,99.58,99.58,99.58
2017-03-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2017-04-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2017-05-01 07:00:00+07:00,100.19,100.19,100.19,100.19
2017-06-01 07:00:00+07:00,100.04,100.04,100.04,100.04
2017-07-01 07:00:00+07:00,99.73,99.73,99.73,99.73
2017-08-01 07:00:00+07:00,99.76,99.76,99.76,99.76
2017-09-01 07:00:00+07:00,100.01,100.01,100.01,100.01
2017-10-01 07:00:00+07:00,100.07,100.07,100.07,100.07
2017-11-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2017-12-01 07:00:00+07:00,99.97,99.97,99.97,99.97
2018-01-01 07:00:00+07:00,99.84,99.84,99.84,99.84
2018-02-01 07:00:00+07:00,100.21,100.21,100.21,100.21
2018-03-01 07:00:00+07:00,100.59,100.59,100.59,100.59
2018-04-01 07:00:00+07:00,100.8,100.8,100.8,100.8
2018-05-01 07:00:00+07:00,101.19,101.19,101.19,101.19
2018-06-01 07:00:00+07:00,101.19,101.19,101.19,101.19
2018-07-01 07:00:00+07:00,100.96,100.96,100.96,100.96
2018-08-01 07:00:00+07:00,100.94,100.94,100.94,100.94
2018-09-01 07:00:00+07:00,101.0,101.0,101.0,101.0
2018-10-01 07:00:00+07:00,101.18,101.18,101.18,101.18
2018-11-01 07:00:00+07:00,100.92,100.92,100.92,100.92
2018-12-01 07:00:00+07:00,100.66,100.66,100.66,100.66
2019-01-01 07:00:00+07:00,100.4,100.4,100.4,100.4
2019-02-01 07:00:00+07:00,100.79,100.79,100.79,100.79
2019-03-01 07:00:00+07:00,101.33,101.33,101.33,101.33
2019-04-01 07:00:00+07:00,101.52,101.52,101.52,101.52
2019-05-01 07:00:00+07:00,101.83,101.83,101.83,101.83
2019-06-01 07:00:00+07:00,101.8,101.8,101.8,101.8
2019-07-01 07:00:00+07:00,101.27,101.27,101.27,101.27
2019-08-01 07:00:00+07:00,101.26,101.26,101.26,101.26
2019-09-01 07:00:00+07:00,101.15,101.15,101.15,101.15
2019-10-01 07:00:00+07:00,100.92,100.92,100.92,100.92
2019-11-01 07:00:00+07:00,100.79,100.79,100.79,100.79
2019-12-01 07:00:00+07:00,100.82,100.82,100.82,100.82
2020-01-01 07:00:00+07:00,100.6,100.6,100.6,100.6
2020-02-01 07:00:00+07:00,100.73,100.73,100.73,100.73
2020-03-01 07:00:00+07:00,100.8,100.8,100.8,100.8
2020-04-01 07:00:00+07:00,100.44,100.44,100.44,100.44
2020-05-01 07:00:00+07:00,100.48,100.48,100.48,100.48
2020-06-01 07:00:00+07:00,100.5,100.5,100.5,100.5
2020-07-01 07:00:00+07:00,100.34,100.34,100.34,100.34
2020-08-01 07:00:00+07:00,100.39,100.39,100.39,100.39
2020-09-01 07:00:00+07:00,100.34,100.34,100.34,100.34
2020-10-01 07:00:00+07:00,100.35,100.35,100.35,100.35
2020-11-01 07:00:00+07:00,100.1,100.1,100.1,100.1
2020-12-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2021-01-01 07:00:00+07:00,100.06,100.06,100.06,100.06
2021-02-01 07:00:00+07:00,100.22,100.22,100.22,100.22
2021-03-01 07:00:00+07:00,100.56,100.56,100.56,100.56
2021-04-01 07:00:00+07:00,100.77,100.77,100.77,100.77
2021-05-01 07:00:00+07:00,101.03,101.03,101.03,101.03
2021-06-01 07:00:00+07:00,101.11,101.11,101.11,101.11
2021-07-01 07:00:00+07:00,101.02,101.02,101.02,101.02
2021-08-01 07:00:00+07:00,101.27,101.27,101.27,101.27
2021-09-01 07:00:00+07:00,101.29,101.29,101.29,101.29
2021-10-01 07:00:00+07:00,101.6,101.6,101.6,101.6
2021-11-01 07:00:00+07:00,101.63,101.63,101.63,101.63
2021-12-01 07:00:00+07:00,101.53,101.53,101.53,101.53
2022-01-01 07:00:00+07:00,101.71,101.71,101.71,101.71
2022-02-01 07:00:00+07:00,102.38,102.38,102.38,102.38
2022-03-01 07:00:00+07:00,102.96,102.96,102.96,102.96
2022-04-01 07:00:00+07:00,103.34,103.34,103.34,103.34
2022-05-01 07:00:00+07:00,104.01,104.01,104.01,104.01
2022-06-01 07:00:00+07:00,104.53,104.53,104.53,104.53
