time,open,high,low,close
2005-01-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2005-04-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2005-07-01 07:00:00+07:00,3.1,3.1,3.1,3.1
2005-10-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2006-01-01 07:00:00+07:00,4.8,4.8,4.8,4.8
2006-04-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2006-07-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2006-10-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2007-01-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2007-04-01 07:00:00+07:00,4.1,4.1,4.1,4.1
2007-07-01 07:00:00+07:00,4.3,4.3,4.3,4.3
2007-10-01 07:00:00+07:00,4.0,4.0,4.0,4.0
2008-01-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2008-04-01 07:00:00+07:00,4.2,4.2,4.2,4.2
2008-07-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2008-10-01 07:00:00+07:00,-0.4,-0.4,-0.4,-0.4
2009-01-01 07:00:00+07:00,-3.1,-3.1,-3.1,-3.1
2009-04-01 07:00:00+07:00,-4.1,-4.1,-4.1,-4.1
2009-07-01 07:00:00+07:00,-2.8,-2.8,-2.8,-2.8
2009-10-01 07:00:00+07:00,0.9,0.9,0.9,0.9
2010-01-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2010-04-01 07:00:00+07:00,3.7,3.7,3.7,3.7
2010-07-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2010-10-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2011-01-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2011-04-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2011-07-01 07:00:00+07:00,1.3,1.3,1.3,1.3
2011-10-01 07:00:00+07:00,0.9,0.9,0.9,0.9
2012-01-01 07:00:00+07:00,0.9,0.9,0.9,0.9
2012-04-01 07:00:00+07:00,0.5,0.5,0.5,0.5
2012-07-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2012-10-01 07:00:00+07:00,1.7,1.7,1.7,1.7
2013-01-01 07:00:00+07:00,1.1,1.1,1.1,1.1
2013-04-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2013-07-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2013-10-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2014-01-01 07:00:00+07:00,2.3,2.3,2.3,2.3
2014-04-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2014-07-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2014-10-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2015-01-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2015-04-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2015-07-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2015-10-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2016-01-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2016-04-01 07:00:00+07:00,2.4,2.4,2.4,2.4
2016-07-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2016-10-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2017-01-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2017-04-01 07:00:00+07:00,0.9,0.9,0.9,0.9
2017-07-01 07:00:00+07:00,0.9,0.9,0.9,0.9
2017-10-01 07:00:00+07:00,1.7,1.7,1.7,1.7
2018-01-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2018-04-01 07:00:00+07:00,4.0,4.0,4.0,4.0
2018-07-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2018-10-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2019-01-01 07:00:00+07:00,1.0,1.0,1.0,1.0
2019-04-01 07:00:00+07:00,0.3,0.3,0.3,0.3
2019-07-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2019-10-01 07:00:00+07:00,1.7,1.7,1.7,1.7
2020-01-01 07:00:00+07:00,0.4,0.4,0.4,0.4
2020-04-01 07:00:00+07:00,-7.0,-7.0,-7.0,-7.0
2020-07-01 07:00:00+07:00,-1.0,-1.0,-1.0,-1.0
2020-10-01 07:00:00+07:00,-0.9,-0.9,-0.9,-0.9
2021-01-01 07:00:00+07:00,0.6,0.6,0.6,0.6
2021-04-01 07:00:00+07:00,10.6,10.6,10.6,10.6
2021-07-01 07:00:00+07:00,5.5,5.5,5.5,5.5
2021-10-01 07:00:00+07:00,5.1,5.1,5.1,5.1
2022-01-01 07:00:00+07:00,5.1,5.1,5.1,5.1
2022-04-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2022-07-01 07:00:00+07:00,1.1,1.1,1.1,1.1
2022-10-01 07:00:00+07:00,1.1,1.1,1.1,1.1
2023-01-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2023-04-01 07:00:00+07:00,0.3,0.3,0.3,0.3
2023-07-01 07:00:00+07:00,0.4,0.4,0.4,0.4
2023-10-01 07:00:00+07:00,0.5,0.5,0.5,0.5
2024-01-01 07:00:00+07:00,0.6,0.6,0.6,0.6
2024-04-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2024-07-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2024-10-01 07:00:00+07:00,1.5,1.5,1.5,1.5
