time,open,high,low,close
2005-04-01 07:00:00+07:00,107.42,107.42,107.42,107.42
2005-05-01 07:00:00+07:00,107.13,107.13,107.13,107.13
2005-06-01 07:00:00+07:00,106.82,106.82,106.82,106.82
2005-07-01 07:00:00+07:00,107.29,107.29,107.29,107.29
2005-08-01 07:00:00+07:00,107.49,107.49,107.49,107.49
2005-09-01 07:00:00+07:00,108.21,108.21,108.21,108.21
2005-10-01 07:00:00+07:00,108.22,108.22,108.22,108.22
2005-11-01 07:00:00+07:00,107.8,107.8,107.8,107.8
2005-12-01 07:00:00+07:00,107.92,107.92,107.92,107.92
2006-01-01 07:00:00+07:00,108.17,108.17,108.17,108.17
2006-02-01 07:00:00+07:00,108.53,108.53,108.53,108.53
2006-03-01 07:00:00+07:00,108.67,108.67,108.67,108.67
2006-04-01 07:00:00+07:00,109.49,109.49,109.49,109.49
2006-05-01 07:00:00+07:00,110.16,110.16,110.16,110.16
2006-06-01 07:00:00+07:00,110.18,110.18,110.18,110.18
2006-07-01 07:00:00+07:00,110.41,110.41,110.41,110.41
2006-08-01 07:00:00+07:00,110.86,110.86,110.86,110.86
2006-09-01 07:00:00+07:00,110.91,110.91,110.91,110.91
2006-10-01 07:00:00+07:00,110.81,110.81,110.81,110.81
2006-11-01 07:00:00+07:00,110.78,110.78,110.78,110.78
2006-12-01 07:00:00+07:00,110.75,110.75,110.75,110.75
2007-01-01 07:00:00+07:00,110.58,110.58,110.58,110.58
2007-02-01 07:00:00+07:00,110.91,110.91,110.91,110.91
2007-03-01 07:00:00+07:00,111.26,111.26,111.26,111.26
2007-04-01 07:00:00+07:00,112.29,112.29,112.29,112.29
2007-05-01 07:00:00+07:00,113.3,113.3,113.3,113.3
2007-06-01 07:00:00+07:00,113.31,113.31,113.31,113.31
2007-07-01 07:00:00+07:00,113.48,113.48,113.48,113.48
2007-08-01 07:00:00+07:00,113.82,113.82,113.82,113.82
2007-09-01 07:00:00+07:00,113.53,113.53,113.53,113.53
2007-10-01 07:00:00+07:00,113.81,113.81,113.81,113.81
2007-11-01 07:00:00+07:00,114.15,114.15,114.15,114.15
2007-12-01 07:00:00+07:00,114.04,114.04,114.04,114.04
2008-01-01 07:00:00+07:00,114.65,114.65,114.65,114.65
2008-02-01 07:00:00+07:00,114.89,114.89,114.89,114.89
2008-03-01 07:00:00+07:00,115.55,115.55,115.55,115.55
2008-04-01 07:00:00+07:00,116.32,116.32,116.32,116.32
2008-05-01 07:00:00+07:00,117.68,117.68,117.68,117.68
2008-06-01 07:00:00+07:00,118.39,118.39,118.39,118.39
2008-07-01 07:00:00+07:00,119.03,119.03,119.03,119.03
2008-08-01 07:00:00+07:00,118.38,118.38,118.38,118.38
2008-09-01 07:00:00+07:00,117.75,117.75,117.75,117.75
2008-10-01 07:00:00+07:00,117.05,117.05,117.05,117.05
2008-11-01 07:00:00+07:00,115.38,115.38,115.38,115.38
2008-12-01 07:00:00+07:00,114.53,114.53,114.53,114.53
2009-01-01 07:00:00+07:00,113.56,113.56,113.56,113.56
2009-02-01 07:00:00+07:00,112.86,112.86,112.86,112.86
2009-03-01 07:00:00+07:00,112.3,112.3,112.3,112.3
2009-04-01 07:00:00+07:00,112.1,112.1,112.1,112.1
2009-05-01 07:00:00+07:00,111.81,111.81,111.81,111.81
2009-06-01 07:00:00+07:00,111.78,111.78,111.78,111.78
