time,open,high,low,close
2005-05-01 07:00:00+07:00,-12.9,-12.9,-12.9,-12.9
2005-06-01 07:00:00+07:00,-13.1,-13.1,-13.1,-13.1
2005-07-01 07:00:00+07:00,-13.5,-13.5,-13.5,-13.5
2005-08-01 07:00:00+07:00,-12.4,-12.4,-12.4,-12.4
2005-09-01 07:00:00+07:00,-12.8,-12.8,-12.8,-12.8
2005-10-01 07:00:00+07:00,-12.4,-12.4,-12.4,-12.4
2005-11-01 07:00:00+07:00,-12.6,-12.6,-12.6,-12.6
2005-12-01 07:00:00+07:00,-10.7,-10.7,-10.7,-10.7
2006-01-01 07:00:00+07:00,-9.6,-9.6,-9.6,-9.6
2006-02-01 07:00:00+07:00,-9.8,-9.8,-9.8,-9.8
2006-03-01 07:00:00+07:00,-9.7,-9.7,-9.7,-9.7
2006-04-01 07:00:00+07:00,-9.2,-9.2,-9.2,-9.2
2006-05-01 07:00:00+07:00,-9.5,-9.5,-9.5,-9.5
2006-06-01 07:00:00+07:00,-10.1,-10.1,-10.1,-10.1
2006-07-01 07:00:00+07:00,-9.2,-9.2,-9.2,-9.2
2006-08-01 07:00:00+07:00,-9.2,-9.2,-9.2,-9.2
2006-09-01 07:00:00+07:00,-8.7,-8.7,-8.7,-8.7
2006-10-01 07:00:00+07:00,-8.7,-8.7,-8.7,-8.7
2006-11-01 07:00:00+07:00,-8.2,-8.2,-8.2,-8.2
2006-12-01 07:00:00+07:00,-6.9,-6.9,-6.9,-6.9
2007-01-01 07:00:00+07:00,-7.9,-7.9,-7.9,-7.9
2007-02-01 07:00:00+07:00,-6.9,-6.9,-6.9,-6.9
2007-03-01 07:00:00+07:00,-6.6,-6.6,-6.6,-6.6
2007-04-01 07:00:00+07:00,-6.7,-6.7,-6.7,-6.7
2007-05-01 07:00:00+07:00,-5.5,-5.5,-5.5,-5.5
2007-06-01 07:00:00+07:00,-6.0,-6.0,-6.0,-6.0
2007-07-01 07:00:00+07:00,-5.9,-5.9,-5.9,-5.9
2007-08-01 07:00:00+07:00,-7.6,-7.6,-7.6,-7.6
2007-09-01 07:00:00+07:00,-9.0,-9.0,-9.0,-9.0
2007-10-01 07:00:00+07:00,-9.2,-9.2,-9.2,-9.2
2007-11-01 07:00:00+07:00,-11.7,-11.7,-11.7,-11.7
2007-12-01 07:00:00+07:00,-11.9,-11.9,-11.9,-11.9
2008-01-01 07:00:00+07:00,-13.8,-13.8,-13.8,-13.8
2008-02-01 07:00:00+07:00,-13.8,-13.8,-13.8,-13.8
2008-03-01 07:00:00+07:00,-14.1,-14.1,-14.1,-14.1
2008-04-01 07:00:00+07:00,-14.9,-14.9,-14.9,-14.9
2008-05-01 07:00:00+07:00,-16.3,-16.3,-16.3,-16.3
2008-06-01 07:00:00+07:00,-19.8,-19.8,-19.8,-19.8
2008-07-01 07:00:00+07:00,-21.8,-21.8,-21.8,-21.8
2008-08-01 07:00:00+07:00,-19.8,-19.8,-19.8,-19.8
2008-09-01 07:00:00+07:00,-18.3,-18.3,-18.3,-18.3
2008-10-01 07:00:00+07:00,-20.8,-20.8,-20.8,-20.8
2008-11-01 07:00:00+07:00,-20.5,-20.5,-20.5,-20.5
2008-12-01 07:00:00+07:00,-21.8,-21.8,-21.8,-21.8
2009-01-01 07:00:00+07:00,-21.4,-21.4,-21.4,-21.4
2009-02-01 07:00:00+07:00,-22.2,-22.2,-22.2,-22.2
2009-03-01 07:00:00+07:00,-22.4,-22.4,-22.4,-22.4
2009-04-01 07:00:00+07:00,-20.1,-20.1,-20.1,-20.1
2009-05-01 07:00:00+07:00,-18.8,-18.8,-18.8,-18.8
2009-06-01 07:00:00+07:00,-17.5,-17.5,-17.5,-17.5
2009-07-01 07:00:00+07:00,-15.9,-15.9,-15.9,-15.9
2009-08-01 07:00:00+07:00,-14.6,-14.6,-14.6,-14.6
2009-09-01 07:00:00+07:00,-12.6,-12.6,-12.6,-12.6
2009-10-01 07:00:00+07:00,-11.7,-11.7,-11.7,-11.7
2009-11-01 07:00:00+07:00,-11.6,-11.6,-11.6,-11.6
2009-12-01 07:00:00+07:00,-11.3,-11.3,-11.3,-11.3
2010-01-01 07:00:00+07:00,-11.9,-11.9,-11.9,-11.9
2010-02-01 07:00:00+07:00,-13.7,-13.7,-13.7,-13.7
2010-03-01 07:00:00+07:00,-14.2,-14.2,-14.2,-14.2
2010-04-01 07:00:00+07:00,-13.1,-13.1,-13.1,-13.1
2010-05-01 07:00:00+07:00,-16.3,-16.3,-16.3,-16.3
2010-06-01 07:00:00+07:00,-16.9,-16.9,-16.9,-16.9
2010-07-01 07:00:00+07:00,-15.0,-15.0,-15.0,-15.0
2010-08-01 07:00:00+07:00,-12.5,-12.5,-12.5,-12.5
2010-09-01 07:00:00+07:00,-12.1,-12.1,-12.1,-12.1
2010-10-01 07:00:00+07:00,-12.6,-12.6,-12.6,-12.6
2010-11-01 07:00:00+07:00,-11.4,-11.4,-11.4,-11.4
2010-12-01 07:00:00+07:00,-12.6,-12.6,-12.6,-12.6
2011-01-01 07:00:00+07:00,-13.5,-13.5,-13.5,-13.5
2011-02-01 07:00:00+07:00,-12.8,-12.8,-12.8,-12.8
2011-03-01 07:00:00+07:00,-13.7,-13.7,-13.7,-13.7
2011-04-01 07:00:00+07:00,-14.9,-14.9,-14.9,-14.9
2011-05-01 07:00:00+07:00,-14.9,-14.9,-14.9,-14.9
2011-06-01 07:00:00+07:00,-14.3,-14.3,-14.3,-14.3
2011-07-01 07:00:00+07:00,-14.3,-14.3,-14.3,-14.3
2011-08-01 07:00:00+07:00,-16.8,-16.8,-16.8,-16.8
2011-09-01 07:00:00+07:00,-17.4,-17.4,-17.4,-17.4
2011-10-01 07:00:00+07:00,-18.5,-18.5,-18.5,-18.5
2011-11-01 07:00:00+07:00,-17.6,-17.6,-17.6,-17.6
2011-12-01 07:00:00+07:00,-18.5,-18.5,-18.5,-18.5
2012-01-01 07:00:00+07:00,-18.8,-18.8,-18.8,-18.8
2012-02-01 07:00:00+07:00,-17.9,-17.9,-17.9,-17.9
2012-03-01 07:00:00+07:00,-17.0,-17.0,-17.0,-17.0
2012-04-01 07:00:00+07:00,-18.3,-18.3,-18.3,-18.3
2012-05-01 07:00:00+07:00,-18.6,-18.6,-18.6,-18.6
2012-06-01 07:00:00+07:00,-18.6,-18.6,-18.6,-18.6
2012-07-01 07:00:00+07:00,-18.9,-18.9,-18.9,-18.9
2012-08-01 07:00:00+07:00,-19.5,-19.5,-19.5,-19.5
2012-09-01 07:00:00+07:00,-20.9,-20.9,-20.9,-20.9
2012-10-01 07:00:00+07:00,-20.5,-20.5,-20.5,-20.5
2012-11-01 07:00:00+07:00,-20.7,-20.7,-20.7,-20.7
2012-12-01 07:00:00+07:00,-21.5,-21.5,-21.5,-21.5
2013-01-01 07:00:00+07:00,-19.8,-19.8,-19.8,-19.8
2013-02-01 07:00:00+07:00,-19.3,-19.3,-19.3,-19.3
2013-03-01 07:00:00+07:00,-19.5,-19.5,-19.5,-19.5
2013-04-01 07:00:00+07:00,-18.8,-18.8,-18.8,-18.8
2013-05-01 07:00:00+07:00,-19.6,-19.6,-19.6,-19.6
2013-06-01 07:00:00+07:00,-18.6,-18.6,-18.6,-18.6
2013-07-01 07:00:00+07:00,-17.8,-17.8,-17.8,-17.8
2013-08-01 07:00:00+07:00,-16.3,-16.3,-16.3,-16.3
2013-09-01 07:00:00+07:00,-14.3,-14.3,-14.3,-14.3
2013-10-01 07:00:00+07:00,-15.0,-15.0,-15.0,-15.0
2013-11-01 07:00:00+07:00,-14.3,-14.3,-14.3,-14.3
2013-12-01 07:00:00+07:00,-13.8,-13.8,-13.8,-13.8
2014-01-01 07:00:00+07:00,-12.9,-12.9,-12.9,-12.9
