time,open,high,low,close
2005-04-01 07:00:00+07:00,84.6,84.6,84.6,84.6
2005-05-01 07:00:00+07:00,84.78,84.78,84.78,84.78
2005-06-01 07:00:00+07:00,84.87,84.87,84.87,84.87
2005-07-01 07:00:00+07:00,84.78,84.78,84.78,84.78
2005-08-01 07:00:00+07:00,84.98,84.98,84.98,84.98
2005-09-01 07:00:00+07:00,85.42,85.42,85.42,85.42
2005-10-01 07:00:00+07:00,85.64,85.64,85.64,85.64
2005-11-01 07:00:00+07:00,85.45,85.45,85.45,85.45
2005-12-01 07:00:00+07:00,85.74,85.74,85.74,85.74
2006-01-01 07:00:00+07:00,85.35,85.35,85.35,85.35
2006-02-01 07:00:00+07:00,85.59,85.59,85.59,85.59
2006-03-01 07:00:00+07:00,86.09,86.09,86.09,86.09
2006-04-01 07:00:00+07:00,86.66,86.66,86.66,86.66
2006-05-01 07:00:00+07:00,86.89,86.89,86.89,86.89
2006-06-01 07:00:00+07:00,86.96,86.96,86.96,86.96
2006-07-01 07:00:00+07:00,86.85,86.85,86.85,86.85
2006-08-01 07:00:00+07:00,86.93,86.93,86.93,86.93
2006-09-01 07:00:00+07:00,86.93,86.93,86.93,86.93
2006-10-01 07:00:00+07:00,87.0,87.0,87.0,87.0
2006-11-01 07:00:00+07:00,87.03,87.03,87.03,87.03
2006-12-01 07:00:00+07:00,87.37,87.37,87.37,87.37
2007-01-01 07:00:00+07:00,86.92,86.92,86.92,86.92
2007-02-01 07:00:00+07:00,87.17,87.17,87.17,87.17
2007-03-01 07:00:00+07:00,87.75,87.75,87.75,87.75
2007-04-01 07:00:00+07:00,88.31,88.31,88.31,88.31
2007-05-01 07:00:00+07:00,88.52,88.52,88.52,88.52
2007-06-01 07:00:00+07:00,88.61,88.61,88.61,88.61
2007-07-01 07:00:00+07:00,88.39,88.39,88.39,88.39
2007-08-01 07:00:00+07:00,88.45,88.45,88.45,88.45
2007-09-01 07:00:00+07:00,88.78,88.78,88.78,88.78
2007-10-01 07:00:00+07:00,89.21,89.21,89.21,89.21
2007-11-01 07:00:00+07:00,89.69,89.69,89.69,89.69
2007-12-01 07:00:00+07:00,90.05,90.05,90.05,90.05
2008-01-01 07:00:00+07:00,89.7,89.7,89.7,89.7
2008-02-01 07:00:00+07:00,90.02,90.02,90.02,90.02
2008-03-01 07:00:00+07:00,90.9,90.9,90.9,90.9
2008-04-01 07:00:00+07:00,91.19,91.19,91.19,91.19
2008-05-01 07:00:00+07:00,91.76,91.76,91.76,91.76
2008-06-01 07:00:00+07:00,92.11,92.11,92.11,92.11
2008-07-01 07:00:00+07:00,91.97,91.97,91.97,91.97
2008-08-01 07:00:00+07:00,91.84,91.84,91.84,91.84
2008-09-01 07:00:00+07:00,92.01,92.01,92.01,92.01
2008-10-01 07:00:00+07:00,92.04,92.04,92.04,92.04
2008-11-01 07:00:00+07:00,91.59,91.59,91.59,91.59
2008-12-01 07:00:00+07:00,91.47,91.47,91.47,91.47
2009-01-01 07:00:00+07:00,90.71,90.71,90.71,90.71
2009-02-01 07:00:00+07:00,91.08,91.08,91.08,91.08
2009-03-01 07:00:00+07:00,91.42,91.42,91.42,91.42
2009-04-01 07:00:00+07:00,91.75,91.75,91.75,91.75
2009-05-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2009-06-01 07:00:00+07:00,91.98,91.98,91.98,91.98
2009-07-01 07:00:00+07:00,91.38,91.38,91.38,91.38
2009-08-01 07:00:00+07:00,91.69,91.69,91.69,91.69
2009-09-01 07:00:00+07:00,91.71,91.71,91.71,91.71
2009-10-01 07:00:00+07:00,91.92,91.92,91.92,91.92
2009-11-01 07:00:00+07:00,92.03,92.03,92.03,92.03
2009-12-01 07:00:00+07:00,92.32,92.32,92.32,92.32
2010-01-01 07:00:00+07:00,91.57,91.57,91.57,91.57
2010-02-01 07:00:00+07:00,91.85,91.85,91.85,91.85
2010-03-01 07:00:00+07:00,92.87,92.87,92.87,92.87
2010-04-01 07:00:00+07:00,93.25,93.25,93.25,93.25
2010-05-01 07:00:00+07:00,93.35,93.35,93.35,93.35
2010-06-01 07:00:00+07:00,93.35,93.35,93.35,93.35
2010-07-01 07:00:00+07:00,92.95,92.95,92.95,92.95
2010-08-01 07:00:00+07:00,93.14,93.14,93.14,93.14
2010-09-01 07:00:00+07:00,93.43,93.43,93.43,93.43
2010-10-01 07:00:00+07:00,93.71,93.71,93.71,93.71
2010-11-01 07:00:00+07:00,93.79,93.79,93.79,93.79
2010-12-01 07:00:00+07:00,94.36,94.36,94.36,94.36
2011-01-01 07:00:00+07:00,93.68,93.68,93.68,93.68
2011-02-01 07:00:00+07:00,94.08,94.08,94.08,94.08
2011-03-01 07:00:00+07:00,95.35,95.35,95.35,95.35
2011-04-01 07:00:00+07:00,95.88,95.88,95.88,95.88
2011-05-01 07:00:00+07:00,95.89,95.89,95.89,95.89
2011-06-01 07:00:00+07:00,95.88,95.88,95.88,95.88
2011-07-01 07:00:00+07:00,95.33,95.33,95.33,95.33
2011-08-01 07:00:00+07:00,95.51,95.51,95.51,95.51
2011-09-01 07:00:00+07:00,96.21,96.21,96.21,96.21
2011-10-01 07:00:00+07:00,96.55,96.55,96.55,96.55
2011-11-01 07:00:00+07:00,96.63,96.63,96.63,96.63
2011-12-01 07:00:00+07:00,96.96,96.96,96.96,96.96
2012-01-01 07:00:00+07:00,96.17,96.17,96.17,96.17
2012-02-01 07:00:00+07:00,96.65,96.65,96.65,96.65
2012-03-01 07:00:00+07:00,97.9,97.9,97.9,97.9
2012-04-01 07:00:00+07:00,98.36,98.36,98.36,98.36
2012-05-01 07:00:00+07:00,98.22,98.22,98.22,98.22
2012-06-01 07:00:00+07:00,98.15,98.15,98.15,98.15
2012-07-01 07:00:00+07:00,97.63,97.63,97.63,97.63
2012-08-01 07:00:00+07:00,98.01,98.01,98.01,98.01
2012-09-01 07:00:00+07:00,98.72,98.72,98.72,98.72
2012-10-01 07:00:00+07:00,98.95,98.95,98.95,98.95
2012-11-01 07:00:00+07:00,98.76,98.76,98.76,98.76
2012-12-01 07:00:00+07:00,99.11,99.11,99.11,99.11
2013-01-01 07:00:00+07:00,98.08,98.08,98.08,98.08
2013-02-01 07:00:00+07:00,98.44,98.44,98.44,98.44
2013-03-01 07:00:00+07:00,99.6,99.6,99.6,99.6
2013-04-01 07:00:00+07:00,99.51,99.51,99.51,99.51
2013-05-01 07:00:00+07:00,99.62,99.62,99.62,99.62
2013-06-01 07:00:00+07:00,99.73,99.73,99.73,99.73
2013-07-01 07:00:00+07:00,99.2,99.2,99.2,99.2
2013-08-01 07:00:00+07:00,99.32,99.32,99.32,99.32
2013-09-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2013-10-01 07:00:00+07:00,99.68,99.68,99.68,99.68
2013-11-01 07:00:00+07:00,99.6,99.6,99.6,99.6
