time,open,high,low,close
2005-03-01 07:00:00+07:00,74.3,74.3,74.3,74.3
2005-04-01 07:00:00+07:00,74.6,74.6,74.6,74.6
2005-05-01 07:00:00+07:00,74.5,74.5,74.5,74.5
2005-06-01 07:00:00+07:00,75.0,75.0,75.0,75.0
2005-07-01 07:00:00+07:00,75.3,75.3,75.3,75.3
2005-08-01 07:00:00+07:00,75.6,75.6,75.6,75.6
2005-09-01 07:00:00+07:00,76.0,76.0,76.0,76.0
2005-10-01 07:00:00+07:00,76.4,76.4,76.4,76.4
2005-11-01 07:00:00+07:00,76.2,76.2,76.2,76.2
2005-12-01 07:00:00+07:00,76.4,76.4,76.4,76.4
2006-01-01 07:00:00+07:00,77.5,77.5,77.5,77.5
2006-02-01 07:00:00+07:00,77.9,77.9,77.9,77.9
2006-03-01 07:00:00+07:00,78.3,78.3,78.3,78.3
2006-04-01 07:00:00+07:00,78.9,78.9,78.9,78.9
2006-05-01 07:00:00+07:00,79.1,79.1,79.1,79.1
2006-06-01 07:00:00+07:00,79.3,79.3,79.3,79.3
2006-07-01 07:00:00+07:00,79.8,79.8,79.8,79.8
2006-08-01 07:00:00+07:00,79.9,79.9,79.9,79.9
2006-09-01 07:00:00+07:00,79.4,79.4,79.4,79.4
2006-10-01 07:00:00+07:00,79.4,79.4,79.4,79.4
2006-11-01 07:00:00+07:00,79.3,79.3,79.3,79.3
2006-12-01 07:00:00+07:00,79.3,79.3,79.3,79.3
2007-01-01 07:00:00+07:00,79.6,79.6,79.6,79.6
2007-02-01 07:00:00+07:00,79.8,79.8,79.8,79.8
2007-03-01 07:00:00+07:00,80.1,80.1,80.1,80.1
2007-04-01 07:00:00+07:00,80.4,80.4,80.4,80.4
2007-05-01 07:00:00+07:00,80.8,80.8,80.8,80.8
2007-06-01 07:00:00+07:00,80.9,80.9,80.9,80.9
2007-07-01 07:00:00+07:00,81.1,81.1,81.1,81.1
2007-08-01 07:00:00+07:00,81.3,81.3,81.3,81.3
2007-09-01 07:00:00+07:00,81.6,81.6,81.6,81.6
2007-10-01 07:00:00+07:00,82.1,82.1,82.1,82.1
2007-11-01 07:00:00+07:00,82.9,82.9,82.9,82.9
2007-12-01 07:00:00+07:00,83.0,83.0,83.0,83.0
2008-01-01 07:00:00+07:00,83.7,83.7,83.7,83.7
2008-02-01 07:00:00+07:00,84.2,84.2,84.2,84.2
2008-03-01 07:00:00+07:00,84.8,84.8,84.8,84.8
2008-04-01 07:00:00+07:00,85.4,85.4,85.4,85.4
2008-05-01 07:00:00+07:00,86.4,86.4,86.4,86.4
2008-06-01 07:00:00+07:00,87.3,87.3,87.3,87.3
2008-07-01 07:00:00+07:00,88.5,88.5,88.5,88.5
2008-08-01 07:00:00+07:00,88.1,88.1,88.1,88.1
2008-09-01 07:00:00+07:00,87.9,87.9,87.9,87.9
2008-10-01 07:00:00+07:00,87.2,87.2,87.2,87.2
2008-11-01 07:00:00+07:00,85.4,85.4,85.4,85.4
2008-12-01 07:00:00+07:00,84.1,84.1,84.1,84.1
2009-01-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2009-02-01 07:00:00+07:00,82.8,82.8,82.8,82.8
2009-03-01 07:00:00+07:00,82.2,82.2,82.2,82.2
2009-04-01 07:00:00+07:00,81.5,81.5,81.5,81.5
2009-05-01 07:00:00+07:00,81.5,81.5,81.5,81.5
2009-06-01 07:00:00+07:00,81.8,81.8,81.8,81.8
2009-07-01 07:00:00+07:00,81.2,81.2,81.2,81.2
2009-08-01 07:00:00+07:00,81.6,81.6,81.6,81.6
2009-09-01 07:00:00+07:00,81.4,81.4,81.4,81.4
2009-10-01 07:00:00+07:00,81.5,81.5,81.5,81.5
2009-11-01 07:00:00+07:00,81.7,81.7,81.7,81.7
2009-12-01 07:00:00+07:00,81.7,81.7,81.7,81.7
2010-01-01 07:00:00+07:00,82.3,82.3,82.3,82.3
2010-02-01 07:00:00+07:00,82.5,82.5,82.5,82.5
2010-03-01 07:00:00+07:00,82.9,82.9,82.9,82.9
2010-04-01 07:00:00+07:00,83.5,83.5,83.5,83.5
2010-05-01 07:00:00+07:00,83.9,83.9,83.9,83.9
2010-06-01 07:00:00+07:00,84.2,84.2,84.2,84.2
2010-07-01 07:00:00+07:00,84.4,84.4,84.4,84.4
2010-08-01 07:00:00+07:00,84.5,84.5,84.5,84.5
2010-09-01 07:00:00+07:00,84.7,84.7,84.7,84.7
2010-10-01 07:00:00+07:00,84.9,84.9,84.9,84.9
2010-11-01 07:00:00+07:00,85.2,85.2,85.2,85.2
2010-12-01 07:00:00+07:00,85.8,85.8,85.8,85.8
2011-01-01 07:00:00+07:00,86.9,86.9,86.9,86.9
2011-02-01 07:00:00+07:00,87.5,87.5,87.5,87.5
2011-03-01 07:00:00+07:00,88.2,88.2,88.2,88.2
2011-04-01 07:00:00+07:00,89.0,89.0,89.0,89.0
2011-05-01 07:00:00+07:00,88.9,88.9,88.9,88.9
2011-06-01 07:00:00+07:00,89.0,89.0,89.0,89.0
2011-07-01 07:00:00+07:00,89.4,89.4,89.4,89.4
2011-08-01 07:00:00+07:00,89.3,89.3,89.3,89.3
2011-09-01 07:00:00+07:00,89.5,89.5,89.5,89.5
2011-10-01 07:00:00+07:00,89.6,89.6,89.6,89.6
2011-11-01 07:00:00+07:00,89.8,89.8,89.8,89.8
2011-12-01 07:00:00+07:00,89.6,89.6,89.6,89.6
2012-01-01 07:00:00+07:00,90.2,90.2,90.2,90.2
2012-02-01 07:00:00+07:00,90.8,90.8,90.8,90.8
2012-03-01 07:00:00+07:00,91.2,91.2,91.2,91.2
2012-04-01 07:00:00+07:00,91.4,91.4,91.4,91.4
2012-05-01 07:00:00+07:00,91.2,91.2,91.2,91.2
2012-06-01 07:00:00+07:00,90.8,90.8,90.8,90.8
2012-07-01 07:00:00+07:00,91.1,91.1,91.1,91.1
2012-08-01 07:00:00+07:00,91.9,91.9,91.9,91.9
2012-09-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2012-10-01 07:00:00+07:00,91.9,91.9,91.9,91.9
2012-11-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2012-12-01 07:00:00+07:00,91.5,91.5,91.5,91.5
2013-01-01 07:00:00+07:00,91.8,91.8,91.8,91.8
2013-02-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2013-03-01 07:00:00+07:00,91.7,91.7,91.7,91.7
2013-04-01 07:00:00+07:00,91.1,91.1,91.1,91.1
