time,open,high,low,close
2005-01-01 07:00:00+07:00,2.2,2.2,2.2,2.2
2005-04-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2005-07-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2005-10-01 07:00:00+07:00,3.3,3.3,3.3,3.3
2006-01-01 07:00:00+07:00,3.1,3.1,3.1,3.1
2006-04-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2006-07-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2006-10-01 07:00:00+07:00,1.7,1.7,1.7,1.7
2007-01-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2007-04-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2007-07-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2007-10-01 07:00:00+07:00,3.0,3.0,3.0,3.0
2008-01-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2008-04-01 07:00:00+07:00,1.3,1.3,1.3,1.3
2008-07-01 07:00:00+07:00,-1.0,-1.0,-1.0,-1.0
2008-10-01 07:00:00+07:00,-3.6,-3.6,-3.6,-3.6
2009-01-01 07:00:00+07:00,-6.1,-6.1,-6.1,-6.1
2009-04-01 07:00:00+07:00,-5.9,-5.9,-5.9,-5.9
2009-07-01 07:00:00+07:00,-4.4,-4.4,-4.4,-4.4
2009-10-01 07:00:00+07:00,-2.0,-2.0,-2.0,-2.0
2010-01-01 07:00:00+07:00,1.0,1.0,1.0,1.0
2010-04-01 07:00:00+07:00,2.4,2.4,2.4,2.4
2010-07-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2010-10-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2011-01-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2011-04-01 07:00:00+07:00,1.0,1.0,1.0,1.0
2011-07-01 07:00:00+07:00,0.8,0.8,0.8,0.8
2011-10-01 07:00:00+07:00,0.8,0.8,0.8,0.8
2012-01-01 07:00:00+07:00,1.4,1.4,1.4,1.4
2012-04-01 07:00:00+07:00,1.2,1.2,1.2,1.2
2012-07-01 07:00:00+07:00,1.8,1.8,1.8,1.8
2012-10-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2013-01-01 07:00:00+07:00,1.0,1.0,1.0,1.0
2013-04-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2013-07-01 07:00:00+07:00,1.7,1.7,1.7,1.7
2013-10-01 07:00:00+07:00,2.6,2.6,2.6,2.6
2014-01-01 07:00:00+07:00,3.1,3.1,3.1,3.1
2014-04-01 07:00:00+07:00,3.3,3.3,3.3,3.3
2014-07-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2014-10-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2015-01-01 07:00:00+07:00,2.7,2.7,2.7,2.7
2015-04-01 07:00:00+07:00,2.4,2.4,2.4,2.4
2015-07-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2015-10-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2016-01-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2016-04-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2016-07-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2016-10-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2017-01-01 07:00:00+07:00,2.4,2.4,2.4,2.4
2017-04-01 07:00:00+07:00,2.5,2.5,2.5,2.5
2017-07-01 07:00:00+07:00,2.8,2.8,2.8,2.8
2017-10-01 07:00:00+07:00,2.9,2.9,2.9,2.9
2018-01-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2018-04-01 07:00:00+07:00,1.6,1.6,1.6,1.6
2018-07-01 07:00:00+07:00,1.3,1.3,1.3,1.3
2018-10-01 07:00:00+07:00,0.7,0.7,0.7,0.7
2019-01-01 07:00:00+07:00,1.4,1.4,1.4,1.4
2019-04-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2019-07-01 07:00:00+07:00,1.9,1.9,1.9,1.9
2019-10-01 07:00:00+07:00,1.8,1.8,1.8,1.8
2020-01-01 07:00:00+07:00,-1.7,-1.7,-1.7,-1.7
2020-04-01 07:00:00+07:00,-21.9,-21.9,-21.9,-21.9
2020-07-01 07:00:00+07:00,-9.5,-9.5,-9.5,-9.5
2020-10-01 07:00:00+07:00,-8.3,-8.3,-8.3,-8.3
2021-01-01 07:00:00+07:00,-6.7,-6.7,-6.7,-6.7
2021-04-01 07:00:00+07:00,25.7,25.7,25.7,25.7
2021-07-01 07:00:00+07:00,9.5,9.5,9.5,9.5
2021-10-01 07:00:00+07:00,9.7,9.7,9.7,9.7
2022-01-01 07:00:00+07:00,11.4,11.4,11.4,11.4
2022-04-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2022-07-01 07:00:00+07:00,2.1,2.1,2.1,2.1
2022-10-01 07:00:00+07:00,0.6,0.6,0.6,0.6
2023-01-01 07:00:00+07:00,0.3,0.3,0.3,0.3
2023-04-01 07:00:00+07:00,0.2,0.2,0.2,0.2
2023-07-01 07:00:00+07:00,0.2,0.2,0.2,0.2
2023-10-01 07:00:00+07:00,-0.2,-0.2,-0.2,-0.2
2024-01-01 07:00:00+07:00,0.3,0.3,0.3,0.3
2024-04-01 07:00:00+07:00,0.7,0.7,0.7,0.7
2024-07-01 07:00:00+07:00,1.2,1.2,1.2,1.2
2024-10-01 07:00:00+07:00,1.5,1.5,1.5,1.5
