time,open,high,low,close
2005-04-01 07:00:00+07:00,79.2,79.2,79.2,79.2
2005-05-01 07:00:00+07:00,78.9,78.9,78.9,78.9
2005-06-01 07:00:00+07:00,79.0,79.0,79.0,79.0
2005-07-01 07:00:00+07:00,79.9,79.9,79.9,79.9
2005-08-01 07:00:00+07:00,80.2,80.2,80.2,80.2
2005-09-01 07:00:00+07:00,81.1,81.1,81.1,81.1
2005-10-01 07:00:00+07:00,81.0,81.0,81.0,81.0
2005-11-01 07:00:00+07:00,80.6,80.6,80.6,80.6
2005-12-01 07:00:00+07:00,80.3,80.3,80.3,80.3
2006-01-01 07:00:00+07:00,80.7,80.7,80.7,80.7
2006-02-01 07:00:00+07:00,80.9,80.9,80.9,80.9
2006-03-01 07:00:00+07:00,81.3,81.3,81.3,81.3
2006-04-01 07:00:00+07:00,82.0,82.0,82.0,82.0
2006-05-01 07:00:00+07:00,82.6,82.6,82.6,82.6
2006-06-01 07:00:00+07:00,82.7,82.7,82.7,82.7
2006-07-01 07:00:00+07:00,83.1,83.1,83.1,83.1
2006-08-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2006-09-01 07:00:00+07:00,82.7,82.7,82.7,82.7
2006-10-01 07:00:00+07:00,82.0,82.0,82.0,82.0
2006-11-01 07:00:00+07:00,81.9,81.9,81.9,81.9
2006-12-01 07:00:00+07:00,81.9,81.9,81.9,81.9
2007-01-01 07:00:00+07:00,82.1,82.1,82.1,82.1
2007-02-01 07:00:00+07:00,82.4,82.4,82.4,82.4
2007-03-01 07:00:00+07:00,83.2,83.2,83.2,83.2
2007-04-01 07:00:00+07:00,83.7,83.7,83.7,83.7
2007-05-01 07:00:00+07:00,84.3,84.3,84.3,84.3
2007-06-01 07:00:00+07:00,84.7,84.7,84.7,84.7
2007-07-01 07:00:00+07:00,85.0,85.0,85.0,85.0
2007-08-01 07:00:00+07:00,85.1,85.1,85.1,85.1
2007-09-01 07:00:00+07:00,85.6,85.6,85.6,85.6
2007-10-01 07:00:00+07:00,86.2,86.2,86.2,86.2
2007-11-01 07:00:00+07:00,87.3,87.3,87.3,87.3
2007-12-01 07:00:00+07:00,87.8,87.8,87.8,87.8
2008-01-01 07:00:00+07:00,88.8,88.8,88.8,88.8
2008-02-01 07:00:00+07:00,89.4,89.4,89.4,89.4
2008-03-01 07:00:00+07:00,90.7,90.7,90.7,90.7
2008-04-01 07:00:00+07:00,92.4,92.4,92.4,92.4
2008-05-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2008-06-01 07:00:00+07:00,96.5,96.5,96.5,96.5
2008-07-01 07:00:00+07:00,97.1,97.1,97.1,97.1
2008-08-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2008-09-01 07:00:00+07:00,95.8,95.8,95.8,95.8
2008-10-01 07:00:00+07:00,93.8,93.8,93.8,93.8
2008-11-01 07:00:00+07:00,92.0,92.0,92.0,92.0
2008-12-01 07:00:00+07:00,90.1,90.1,90.1,90.1
2009-01-01 07:00:00+07:00,89.5,89.5,89.5,89.5
2009-02-01 07:00:00+07:00,89.5,89.5,89.5,89.5
2009-03-01 07:00:00+07:00,89.4,89.4,89.4,89.4
2009-04-01 07:00:00+07:00,89.6,89.6,89.6,89.6
2009-05-01 07:00:00+07:00,89.7,89.7,89.7,89.7
2009-06-01 07:00:00+07:00,90.2,90.2,90.2,90.2
2009-07-01 07:00:00+07:00,90.0,90.0,90.0,90.0
2009-08-01 07:00:00+07:00,90.1,90.1,90.1,90.1
2009-09-01 07:00:00+07:00,90.3,90.3,90.3,90.3
2009-10-01 07:00:00+07:00,90.7,90.7,90.7,90.7
2009-11-01 07:00:00+07:00,91.3,91.3,91.3,91.3
2009-12-01 07:00:00+07:00,91.5,91.5,91.5,91.5
2010-01-01 07:00:00+07:00,91.6,91.6,91.6,91.6
2010-02-01 07:00:00+07:00,91.7,91.7,91.7,91.7
2010-03-01 07:00:00+07:00,92.9,92.9,92.9,92.9
2010-04-01 07:00:00+07:00,94.0,94.0,94.0,94.0
2010-05-01 07:00:00+07:00,94.2,94.2,94.2,94.2
2010-06-01 07:00:00+07:00,94.0,94.0,94.0,94.0
2010-07-01 07:00:00+07:00,94.0,94.0,94.0,94.0
2010-08-01 07:00:00+07:00,93.9,93.9,93.9,93.9
2010-09-01 07:00:00+07:00,94.1,94.1,94.1,94.1
2010-10-01 07:00:00+07:00,94.8,94.8,94.8,94.8
2010-11-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2010-12-01 07:00:00+07:00,96.5,96.5,96.5,96.5
2011-01-01 07:00:00+07:00,97.8,97.8,97.8,97.8
2011-02-01 07:00:00+07:00,98.6,98.6,98.6,98.6
2011-03-01 07:00:00+07:00,100.2,100.2,100.2,100.2
2011-04-01 07:00:00+07:00,101.2,101.2,101.2,101.2
2011-05-01 07:00:00+07:00,101.2,101.2,101.2,101.2
2011-06-01 07:00:00+07:00,101.4,101.4,101.4,101.4
2011-07-01 07:00:00+07:00,101.7,101.7,101.7,101.7
2011-08-01 07:00:00+07:00,101.6,101.6,101.6,101.6
2011-09-01 07:00:00+07:00,102.0,102.0,102.0,102.0
2011-10-01 07:00:00+07:00,102.0,102.0,102.0,102.0
2011-11-01 07:00:00+07:00,102.3,102.3,102.3,102.3
2011-12-01 07:00:00+07:00,102.0,102.0,102.0,102.0
2012-01-01 07:00:00+07:00,102.3,102.3,102.3,102.3
2012-02-01 07:00:00+07:00,102.8,102.8,102.8,102.8
2012-03-01 07:00:00+07:00,103.7,103.7,103.7,103.7
2012-04-01 07:00:00+07:00,103.9,103.9,103.9,103.9
2012-05-01 07:00:00+07:00,103.1,103.1,103.1,103.1
2012-06-01 07:00:00+07:00,102.1,102.1,102.1,102.1
2012-07-01 07:00:00+07:00,102.2,102.2,102.2,102.2
2012-08-01 07:00:00+07:00,103.2,103.2,103.2,103.2
2012-09-01 07:00:00+07:00,103.7,103.7,103.7,103.7
2012-10-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2012-11-01 07:00:00+07:00,103.3,103.3,103.3,103.3
2012-12-01 07:00:00+07:00,102.9,102.9,102.9,102.9
2013-01-01 07:00:00+07:00,103.4,103.4,103.4,103.4
2013-02-01 07:00:00+07:00,104.7,104.7,104.7,104.7
2013-03-01 07:00:00+07:00,104.8,104.8,104.8,104.8
2013-04-01 07:00:00+07:00,104.1,104.1,104.1,104.1
2013-05-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2013-06-01 07:00:00+07:00,103.9,103.9,103.9,103.9
2013-07-01 07:00:00+07:00,104.6,104.6,104.6,104.6
2013-08-01 07:00:00+07:00,104.8,104.8,104.8,104.8
2013-09-01 07:00:00+07:00,104.8,104.8,104.8,104.8
2013-10-01 07:00:00+07:00,104.0,104.0,104.0,104.0
2013-11-01 07:00:00+07:00,103.7,103.7,103.7,103.7
2013-12-01 07:00:00+07:00,103.7,103.7,103.7,103.7
2014-01-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2014-02-01 07:00:00+07:00,104.0,104.0,104.0,104.0
2014-03-01 07:00:00+07:00,104.0,104.0,104.0,104.0
2014-04-01 07:00:00+07:00,103.9,103.9,103.9,103.9
2014-05-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2014-06-01 07:00:00+07:00,103.6,103.6,103.6,103.6
2014-07-01 07:00:00+07:00,103.5,103.5,103.5,103.5
2014-08-01 07:00:00+07:00,103.3,103.3,103.3,103.3
2014-09-01 07:00:00+07:00,103.0,103.0,103.0,103.0
2014-10-01 07:00:00+07:00,102.3,102.3,102.3,102.3
2014-11-01 07:00:00+07:00,101.8,101.8,101.8,101.8
2014-12-01 07:00:00+07:00,100.8,100.8,100.8,100.8
2015-01-01 07:00:00+07:00,100.0,100.0,100.0,100.0
2015-02-01 07:00:00+07:00,100.3,100.3,100.3,100.3
2015-03-01 07:00:00+07:00,100.6,100.6,100.6,100.6
2015-04-01 07:00:00+07:00,100.7,100.7,100.7,100.7
2015-05-01 07:00:00+07:00,100.9,100.9,100.9,100.9
2015-06-01 07:00:00+07:00,100.7,100.7,100.7,100.7
2015-07-01 07:00:00+07:00,100.3,100.3,100.3,100.3
2015-08-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2015-09-01 07:00:00+07:00,99.6,99.6,99.6,99.6
2015-10-01 07:00:00+07:00,99.4,99.4,99.4,99.4
2015-11-01 07:00:00+07:00,99.1,99.1,99.1,99.1
2015-12-01 07:00:00+07:00,98.7,98.7,98.7,98.7
2016-01-01 07:00:00+07:00,98.8,98.8,98.8,98.8
2016-02-01 07:00:00+07:00,98.9,98.9,98.9,98.9
2016-03-01 07:00:00+07:00,99.2,99.2,99.2,99.2
2016-04-01 07:00:00+07:00,99.3,99.3,99.3,99.3
2016-05-01 07:00:00+07:00,99.4,99.4,99.4,99.4
2016-06-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2016-07-01 07:00:00+07:00,100.3,100.3,100.3,100.3
2016-08-01 07:00:00+07:00,100.5,100.5,100.5,100.5
2016-09-01 07:00:00+07:00,100.7,100.7,100.7,100.7
2016-10-01 07:00:00+07:00,101.7,101.7,101.7,101.7
2016-11-01 07:00:00+07:00,101.7,101.7,101.7,101.7
2016-12-01 07:00:00+07:00,102.0,102.0,102.0,102.0
2017-01-01 07:00:00+07:00,102.8,102.8,102.8,102.8
2017-02-01 07:00:00+07:00,103.1,103.1,103.1,103.1
2017-03-01 07:00:00+07:00,103.4,103.4,103.4,103.4
2017-04-01 07:00:00+07:00,103.5,103.5,103.5,103.5
2017-05-01 07:00:00+07:00,103.5,103.5,103.5,103.5
2017-06-01 07:00:00+07:00,103.6,103.6,103.6,103.6
2017-07-01 07:00:00+07:00,103.8,103.8,103.8,103.8
2017-08-01 07:00:00+07:00,104.3,104.3,104.3,104.3
2017-09-01 07:00:00+07:00,104.8,104.8,104.8,104.8
2017-10-01 07:00:00+07:00,105.1,105.1,105.1,105.1
2017-11-01 07:00:00+07:00,105.5,105.5,105.5,105.5
2017-12-01 07:00:00+07:00,105.8,105.8,105.8,105.8
2018-01-01 07:00:00+07:00,106.0,106.0,106.0,106.0
2018-02-01 07:00:00+07:00,106.0,106.0,106.0,106.0
2018-03-01 07:00:00+07:00,106.2,106.2,106.2,106.2
2018-04-01 07:00:00+07:00,106.7,106.7,106.7,106.7
2018-05-01 07:00:00+07:00,107.6,107.6,107.6,107.6
2018-06-01 07:00:00+07:00,108.1,108.1,108.1,108.1
2018-07-01 07:00:00+07:00,107.9,107.9,107.9,107.9
2018-08-01 07:00:00+07:00,108.3,108.3,108.3,108.3
2018-09-01 07:00:00+07:00,108.8,108.8,108.8,108.8
2018-10-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2018-11-01 07:00:00+07:00,109.0,109.0,109.0,109.0
2018-12-01 07:00:00+07:00,108.4,108.4,108.4,108.4
2019-01-01 07:00:00+07:00,108.3,108.3,108.3,108.3
2019-02-01 07:00:00+07:00,108.5,108.5,108.5,108.5
2019-03-01 07:00:00+07:00,108.7,108.7,108.7,108.7
2019-04-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2019-05-01 07:00:00+07:00,109.7,109.7,109.7,109.7
2019-06-01 07:00:00+07:00,109.5,109.5,109.5,109.5
2019-07-01 07:00:00+07:00,109.9,109.9,109.9,109.9
2019-08-01 07:00:00+07:00,109.8,109.8,109.8,109.8
2019-09-01 07:00:00+07:00,109.7,109.7,109.7,109.7
2019-10-01 07:00:00+07:00,109.4,109.4,109.4,109.4
2019-11-01 07:00:00+07:00,109.0,109.0,109.0,109.0
2019-12-01 07:00:00+07:00,109.0,109.0,109.0,109.0
2020-01-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2020-02-01 07:00:00+07:00,109.0,109.0,109.0,109.0
2020-03-01 07:00:00+07:00,108.5,108.5,108.5,108.5
2020-04-01 07:00:00+07:00,107.3,107.3,107.3,107.3
2020-05-01 07:00:00+07:00,107.2,107.2,107.2,107.2
2020-06-01 07:00:00+07:00,107.7,107.7,107.7,107.7
2020-07-01 07:00:00+07:00,108.0,108.0,108.0,108.0
2020-08-01 07:00:00+07:00,107.9,107.9,107.9,107.9
2020-09-01 07:00:00+07:00,107.8,107.8,107.8,107.8
2020-10-01 07:00:00+07:00,107.9,107.9,107.9,107.9
