time,open,high,low,close
2005-04-01 07:00:00+07:00,47.1,47.1,47.1,47.1
2005-05-01 07:00:00+07:00,47.3,47.3,47.3,47.3
2005-06-01 07:00:00+07:00,46.1,46.1,46.1,46.1
2005-07-01 07:00:00+07:00,48.2,48.2,48.2,48.2
2005-08-01 07:00:00+07:00,48.4,48.4,48.4,48.4
2005-09-01 07:00:00+07:00,45.6,45.6,45.6,45.6
2005-10-01 07:00:00+07:00,48.1,48.1,48.1,48.1
2005-11-01 07:00:00+07:00,48.6,48.6,48.6,48.6
2005-12-01 07:00:00+07:00,47.4,47.4,47.4,47.4
2006-01-01 07:00:00+07:00,50.0,50.0,50.0,50.0
2006-02-01 07:00:00+07:00,50.1,50.1,50.1,50.1
2006-03-01 07:00:00+07:00,47.7,47.7,47.7,47.7
2006-04-01 07:00:00+07:00,49.5,49.5,49.5,49.5
2006-05-01 07:00:00+07:00,48.9,48.9,48.9,48.9
2006-06-01 07:00:00+07:00,46.6,46.6,46.6,46.6
2006-07-01 07:00:00+07:00,48.4,48.4,48.4,48.4
2006-08-01 07:00:00+07:00,47.5,47.5,47.5,47.5
2006-09-01 07:00:00+07:00,46.0,46.0,46.0,46.0
2006-10-01 07:00:00+07:00,48.3,48.3,48.3,48.3
2006-11-01 07:00:00+07:00,49.1,49.1,49.1,49.1
2006-12-01 07:00:00+07:00,47.0,47.0,47.0,47.0
2007-01-01 07:00:00+07:00,49.0,49.0,49.0,49.0
2007-02-01 07:00:00+07:00,49.0,49.0,49.0,49.0
2007-03-01 07:00:00+07:00,46.7,46.7,46.7,46.7
2007-04-01 07:00:00+07:00,47.0,47.0,47.0,47.0
2007-05-01 07:00:00+07:00,46.3,46.3,46.3,46.3
2007-06-01 07:00:00+07:00,44.3,44.3,44.3,44.3
2007-07-01 07:00:00+07:00,44.1,44.1,44.1,44.1
2007-08-01 07:00:00+07:00,43.9,43.9,43.9,43.9
2007-09-01 07:00:00+07:00,43.5,43.5,43.5,43.5
2007-10-01 07:00:00+07:00,42.7,42.7,42.7,42.7
2007-11-01 07:00:00+07:00,40.3,40.3,40.3,40.3
2007-12-01 07:00:00+07:00,39.2,39.2,39.2,39.2
2008-01-01 07:00:00+07:00,38.5,38.5,38.5,38.5
2008-02-01 07:00:00+07:00,37.5,37.5,37.5,37.5
2008-03-01 07:00:00+07:00,36.9,36.9,36.9,36.9
2008-04-01 07:00:00+07:00,34.8,34.8,34.8,34.8
