time,open,high,low,close
2005-04-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2005-05-01 07:00:00+07:00,95.5,95.5,95.5,95.5
2005-06-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2005-07-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2005-08-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2005-09-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2005-10-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2005-11-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2005-12-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2006-01-01 07:00:00+07:00,95.2,95.2,95.2,95.2
2006-02-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2006-03-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2006-04-01 07:00:00+07:00,95.3,95.3,95.3,95.3
2006-05-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2006-06-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2006-07-01 07:00:00+07:00,95.3,95.3,95.3,95.3
2006-08-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2006-09-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2006-10-01 07:00:00+07:00,95.8,95.8,95.8,95.8
2006-11-01 07:00:00+07:00,95.3,95.3,95.3,95.3
2006-12-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2007-01-01 07:00:00+07:00,95.2,95.2,95.2,95.2
2007-02-01 07:00:00+07:00,94.7,94.7,94.7,94.7
2007-03-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2007-04-01 07:00:00+07:00,95.3,95.3,95.3,95.3
2007-05-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2007-06-01 07:00:00+07:00,95.4,95.4,95.4,95.4
2007-07-01 07:00:00+07:00,95.3,95.3,95.3,95.3
2007-08-01 07:00:00+07:00,95.8,95.8,95.8,95.8
2007-09-01 07:00:00+07:00,95.8,95.8,95.8,95.8
2007-10-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2007-11-01 07:00:00+07:00,95.9,95.9,95.9,95.9
2007-12-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2008-01-01 07:00:00+07:00,95.9,95.9,95.9,95.9
2008-02-01 07:00:00+07:00,95.7,95.7,95.7,95.7
2008-03-01 07:00:00+07:00,96.1,96.1,96.1,96.1
2008-04-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2008-05-01 07:00:00+07:00,96.8,96.8,96.8,96.8
2008-06-01 07:00:00+07:00,97.3,97.3,97.3,97.3
2008-07-01 07:00:00+07:00,97.5,97.5,97.5,97.5
2008-08-01 07:00:00+07:00,97.8,97.8,97.8,97.8
2008-09-01 07:00:00+07:00,97.8,97.8,97.8,97.8
2008-10-01 07:00:00+07:00,97.7,97.7,97.7,97.7
2008-11-01 07:00:00+07:00,96.8,96.8,96.8,96.8
2008-12-01 07:00:00+07:00,96.4,96.4,96.4,96.4
2009-01-01 07:00:00+07:00,95.9,95.9,95.9,95.9
2009-02-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2009-03-01 07:00:00+07:00,95.9,95.9,95.9,95.9
2009-04-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2009-05-01 07:00:00+07:00,95.8,95.8,95.8,95.8
2009-06-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2009-07-01 07:00:00+07:00,95.3,95.3,95.3,95.3
2009-08-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2009-09-01 07:00:00+07:00,95.6,95.6,95.6,95.6
2009-10-01 07:00:00+07:00,95.2,95.2,95.2,95.2
2009-11-01 07:00:00+07:00,95.0,95.0,95.0,95.0
2009-12-01 07:00:00+07:00,94.8,94.8,94.8,94.8
2010-01-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2010-02-01 07:00:00+07:00,94.9,94.9,94.9,94.9
2010-03-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2010-04-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2010-05-01 07:00:00+07:00,95.1,95.1,95.1,95.1
2010-06-01 07:00:00+07:00,94.9,94.9,94.9,94.9
