time,open,high,low,close
1995-06-01 07:00:00+07:00,-0.7,-0.7,-0.7,-0.7
1995-09-01 07:00:00+07:00,-0.5,-0.5,-0.5,-0.5
1995-12-01 07:00:00+07:00,-0.2,-0.2,-0.2,-0.2
1996-03-01 07:00:00+07:00,1.5,1.5,1.5,1.5
1996-06-01 07:00:00+07:00,1.0,1.0,1.0,1.0
1996-09-01 07:00:00+07:00,0.3,0.3,0.3,0.3
1996-12-01 07:00:00+07:00,-0.5,-0.5,-0.5,-0.5
1997-03-01 07:00:00+07:00,-1.2,-1.2,-1.2,-1.2
1997-06-01 07:00:00+07:00,2.3,2.3,2.3,2.3
1997-09-01 07:00:00+07:00,0.4,0.4,0.4,0.4
1997-12-01 07:00:00+07:00,-0.3,-0.3,-0.3,-0.3
1998-03-01 07:00:00+07:00,-0.5,-0.5,-0.5,-0.5
1998-06-01 07:00:00+07:00,-0.5,-0.5,-0.5,-0.5
1998-09-01 07:00:00+07:00,0.0,0.0,0.0,0.0
1998-12-01 07:00:00+07:00,1.2,1.2,1.2,1.2
1999-03-01 07:00:00+07:00,1.2,1.2,1.2,1.2
1999-06-01 07:00:00+07:00,2.0,2.0,2.0,2.0
1999-09-01 07:00:00+07:00,2.0,2.0,2.0,2.0
1999-12-01 07:00:00+07:00,0.0,0.0,0.0,0.0
2000-03-01 07:00:00+07:00,-0.4,-0.4,-0.4,-0.4
2000-06-01 07:00:00+07:00,0.2,0.2,0.2,0.2
2000-09-01 07:00:00+07:00,0.8,0.8,0.8,0.8
2000-12-01 07:00:00+07:00,0.1,0.1,0.1,0.1
2001-03-01 07:00:00+07:00,0.1,0.1,0.1,0.1
2001-06-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2001-09-01 07:00:00+07:00,0.6,0.6,0.6,0.6
2001-12-01 07:00:00+07:00,1.3,1.3,1.3,1.3
2002-03-01 07:00:00+07:00,1.5,1.5,1.5,1.5
2002-06-01 07:00:00+07:00,2.0,2.0,2.0,2.0
2002-09-01 07:00:00+07:00,1.5,1.5,1.5,1.5
