time,open,high,low,close
2005-01-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2005-04-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2005-07-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2005-10-01 07:00:00+07:00,3.7,3.7,3.7,3.7
2006-01-01 07:00:00+07:00,4.1,4.1,4.1,4.1
2006-04-01 07:00:00+07:00,3.7,3.7,3.7,3.7
2006-07-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2006-10-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2007-01-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2007-04-01 07:00:00+07:00,3.6,3.6,3.6,3.6
2007-07-01 07:00:00+07:00,3.6,3.6,3.6,3.6
2007-10-01 07:00:00+07:00,3.4,3.4,3.4,3.4
2008-01-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2008-04-01 07:00:00+07:00,3.8,3.8,3.8,3.8
2008-07-01 07:00:00+07:00,4.1,4.1,4.1,4.1
2008-10-01 07:00:00+07:00,4.4,4.4,4.4,4.4
2009-01-01 07:00:00+07:00,5.0,5.0,5.0,5.0
2009-04-01 07:00:00+07:00,5.8,5.8,5.8,5.8
2009-07-01 07:00:00+07:00,6.2,6.2,6.2,6.2
2009-10-01 07:00:00+07:00,6.6,6.6,6.6,6.6
2010-01-01 07:00:00+07:00,5.9,5.9,5.9,5.9
2010-04-01 07:00:00+07:00,6.6,6.6,6.6,6.6
2010-07-01 07:00:00+07:00,6.1,6.1,6.1,6.1
2010-10-01 07:00:00+07:00,6.2,6.2,6.2,6.2
2011-01-01 07:00:00+07:00,6.0,6.0,6.0,6.0
2011-04-01 07:00:00+07:00,6.1,6.1,6.1,6.1
2011-07-01 07:00:00+07:00,6.0,6.0,6.0,6.0
2011-10-01 07:00:00+07:00,6.1,6.1,6.1,6.1
2012-01-01 07:00:00+07:00,6.4,6.4,6.4,6.4
2012-04-01 07:00:00+07:00,6.4,6.4,6.4,6.4
2012-07-01 07:00:00+07:00,6.7,6.7,6.7,6.7
2012-10-01 07:00:00+07:00,6.3,6.3,6.3,6.3
2013-01-01 07:00:00+07:00,5.8,5.8,5.8,5.8
2013-04-01 07:00:00+07:00,6.0,6.0,6.0,6.0
2013-07-01 07:00:00+07:00,5.8,5.8,5.8,5.8
2013-10-01 07:00:00+07:00,5.7,5.7,5.7,5.7
2014-01-01 07:00:00+07:00,5.6,5.6,5.6,5.6
2014-04-01 07:00:00+07:00,5.3,5.3,5.3,5.3
2014-07-01 07:00:00+07:00,5.3,5.3,5.3,5.3
2014-10-01 07:00:00+07:00,5.5,5.5,5.5,5.5
2015-01-01 07:00:00+07:00,5.5,5.5,5.5,5.5
2015-04-01 07:00:00+07:00,5.5,5.5,5.5,5.5
2015-07-01 07:00:00+07:00,5.7,5.7,5.7,5.7
2015-10-01 07:00:00+07:00,5.0,5.0,5.0,5.0
2016-01-01 07:00:00+07:00,5.3,5.3,5.3,5.3
2016-04-01 07:00:00+07:00,5.1,5.1,5.1,5.1
2016-07-01 07:00:00+07:00,5.0,5.0,5.0,5.0
2016-10-01 07:00:00+07:00,5.3,5.3,5.3,5.3
2017-01-01 07:00:00+07:00,4.9,4.9,4.9,4.9
2017-04-01 07:00:00+07:00,4.9,4.9,4.9,4.9
2017-07-01 07:00:00+07:00,4.7,4.7,4.7,4.7
2017-10-01 07:00:00+07:00,4.5,4.5,4.5,4.5
2018-01-01 07:00:00+07:00,4.4,4.4,4.4,4.4
2018-04-01 07:00:00+07:00,4.6,4.6,4.6,4.6
2018-07-01 07:00:00+07:00,4.0,4.0,4.0,4.0
2018-10-01 07:00:00+07:00,4.3,4.3,4.3,4.3
2019-01-01 07:00:00+07:00,4.2,4.2,4.2,4.2
2019-04-01 07:00:00+07:00,4.0,4.0,4.0,4.0
2019-07-01 07:00:00+07:00,4.1,4.1,4.1,4.1
2019-10-01 07:00:00+07:00,4.1,4.1,4.1,4.1
2020-01-01 07:00:00+07:00,4.2,4.2,4.2,4.2
2020-04-01 07:00:00+07:00,4.1,4.1,4.1,4.1
2020-07-01 07:00:00+07:00,5.2,5.2,5.2,5.2
2020-10-01 07:00:00+07:00,4.9,4.9,4.9,4.9
2021-01-01 07:00:00+07:00,4.6,4.6,4.6,4.6
2021-04-01 07:00:00+07:00,4.0,4.0,4.0,4.0
2021-07-01 07:00:00+07:00,3.3,3.3,3.3,3.3
2021-10-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2022-01-01 07:00:00+07:00,3.2,3.2,3.2,3.2
2022-04-01 07:00:00+07:00,3.3,3.3,3.3,3.3
2022-07-01 07:00:00+07:00,3.3,3.3,3.3,3.3
2022-10-01 07:00:00+07:00,3.4,3.4,3.4,3.4
2023-01-01 07:00:00+07:00,3.4,3.4,3.4,3.4
2023-04-01 07:00:00+07:00,3.6,3.6,3.6,3.6
2023-07-01 07:00:00+07:00,3.9,3.9,3.9,3.9
2023-10-01 07:00:00+07:00,4.0,4.0,4.0,4.0
2024-01-01 07:00:00+07:00,4.4,4.4,4.4,4.4
2024-04-01 07:00:00+07:00,4.6,4.6,4.6,4.6
2024-07-01 07:00:00+07:00,4.8,4.8,4.8,4.8
2024-10-01 07:00:00+07:00,5.1,5.1,5.1,5.1
