time,open,high,low,close
2005-05-01 07:00:00+07:00,86.9,86.9,86.9,86.9
2005-06-01 07:00:00+07:00,96.0,96.0,96.0,96.0
2005-07-01 07:00:00+07:00,96.5,96.5,96.5,96.5
2005-08-01 07:00:00+07:00,89.1,89.1,89.1,89.1
2005-09-01 07:00:00+07:00,76.9,76.9,76.9,76.9
2005-10-01 07:00:00+07:00,74.2,74.2,74.2,74.2
2005-11-01 07:00:00+07:00,81.6,81.6,81.6,81.6
2005-12-01 07:00:00+07:00,91.5,91.5,91.5,91.5
2006-01-01 07:00:00+07:00,91.2,91.2,91.2,91.2
2006-02-01 07:00:00+07:00,86.7,86.7,86.7,86.7
2006-03-01 07:00:00+07:00,88.9,88.9,88.9,88.9
2006-04-01 07:00:00+07:00,87.4,87.4,87.4,87.4
2006-05-01 07:00:00+07:00,79.1,79.1,79.1,79.1
2006-06-01 07:00:00+07:00,84.9,84.9,84.9,84.9
2006-07-01 07:00:00+07:00,84.7,84.7,84.7,84.7
2006-08-01 07:00:00+07:00,82.0,82.0,82.0,82.0
2006-09-01 07:00:00+07:00,85.4,85.4,85.4,85.4
2006-10-01 07:00:00+07:00,93.6,93.6,93.6,93.6
2006-11-01 07:00:00+07:00,92.1,92.1,92.1,92.1
2006-12-01 07:00:00+07:00,91.7,91.7,91.7,91.7
2007-01-01 07:00:00+07:00,96.9,96.9,96.9,96.9
2007-02-01 07:00:00+07:00,91.3,91.3,91.3,91.3
2007-03-01 07:00:00+07:00,88.4,88.4,88.4,88.4
2007-04-01 07:00:00+07:00,87.1,87.1,87.1,87.1
2007-05-01 07:00:00+07:00,88.3,88.3,88.3,88.3
2007-06-01 07:00:00+07:00,85.3,85.3,85.3,85.3
2007-07-01 07:00:00+07:00,90.4,90.4,90.4,90.4
2007-08-01 07:00:00+07:00,83.4,83.4,83.4,83.4
2007-09-01 07:00:00+07:00,83.4,83.4,83.4,83.4
2007-10-01 07:00:00+07:00,80.9,80.9,80.9,80.9
2007-11-01 07:00:00+07:00,76.1,76.1,76.1,76.1
2007-12-01 07:00:00+07:00,75.5,75.5,75.5,75.5
2008-01-01 07:00:00+07:00,78.4,78.4,78.4,78.4
2008-02-01 07:00:00+07:00,70.8,70.8,70.8,70.8
2008-03-01 07:00:00+07:00,69.5,69.5,69.5,69.5
2008-04-01 07:00:00+07:00,62.6,62.6,62.6,62.6
2008-05-01 07:00:00+07:00,59.8,59.8,59.8,59.8
2008-06-01 07:00:00+07:00,56.4,56.4,56.4,56.4
2008-07-01 07:00:00+07:00,61.2,61.2,61.2,61.2
2008-08-01 07:00:00+07:00,63.0,63.0,63.0,63.0
2008-09-01 07:00:00+07:00,70.3,70.3,70.3,70.3
2008-10-01 07:00:00+07:00,57.6,57.6,57.6,57.6
2008-11-01 07:00:00+07:00,55.3,55.3,55.3,55.3
2008-12-01 07:00:00+07:00,60.1,60.1,60.1,60.1
2009-01-01 07:00:00+07:00,61.2,61.2,61.2,61.2
2009-02-01 07:00:00+07:00,56.3,56.3,56.3,56.3
2009-03-01 07:00:00+07:00,57.3,57.3,57.3,57.3
2009-04-01 07:00:00+07:00,65.1,65.1,65.1,65.1
2009-05-01 07:00:00+07:00,68.7,68.7,68.7,68.7
2009-06-01 07:00:00+07:00,70.8,70.8,70.8,70.8
2009-07-01 07:00:00+07:00,66.0,66.0,66.0,66.0
2009-08-01 07:00:00+07:00,65.7,65.7,65.7,65.7
2009-09-01 07:00:00+07:00,73.5,73.5,73.5,73.5
2009-10-01 07:00:00+07:00,70.6,70.6,70.6,70.6
2009-11-01 07:00:00+07:00,67.4,67.4,67.4,67.4
2009-12-01 07:00:00+07:00,72.5,72.5,72.5,72.5
2010-01-01 07:00:00+07:00,74.4,74.4,74.4,74.4
2010-02-01 07:00:00+07:00,73.6,73.6,73.6,73.6
2010-03-01 07:00:00+07:00,73.6,73.6,73.6,73.6
2010-04-01 07:00:00+07:00,72.2,72.2,72.2,72.2
2010-05-01 07:00:00+07:00,73.6,73.6,73.6,73.6
2010-06-01 07:00:00+07:00,76.0,76.0,76.0,76.0
2010-07-01 07:00:00+07:00,67.8,67.8,67.8,67.8
2010-08-01 07:00:00+07:00,68.9,68.9,68.9,68.9
2010-09-01 07:00:00+07:00,68.2,68.2,68.2,68.2
2010-10-01 07:00:00+07:00,67.7,67.7,67.7,67.7
2010-11-01 07:00:00+07:00,71.6,71.6,71.6,71.6
2010-12-01 07:00:00+07:00,74.5,74.5,74.5,74.5
2011-01-01 07:00:00+07:00,74.2,74.2,74.2,74.2
