time,open,high,low,close
2014-01-01 07:00:00+07:00,102.1,102.1,102.1,102.1
2015-01-01 07:00:00+07:00,99.8,99.8,99.8,99.8
2016-01-01 07:00:00+07:00,104.8,104.8,104.8,104.8
2017-01-01 07:00:00+07:00,104.3,104.3,104.3,104.3
2018-01-01 07:00:00+07:00,105.0,105.0,105.0,105.0
2019-01-01 07:00:00+07:00,106.6,106.6,106.6,106.6
2020-01-01 07:00:00+07:00,126.3,126.3,126.3,126.3
2021-01-01 07:00:00+07:00,123.8,123.8,123.8,123.8
2022-01-01 07:00:00+07:00,121.9,121.9,121.9,121.9
2023-01-01 07:00:00+07:00,122.3,122.3,122.3,122.3
